name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Chipped Amethyst		18	gcv	3	att		30	30	swing1		4	4	ease		-2	-2	str		4	4	red-dmg		1	1					ac		20	20	block		2	2	block1		3	3
Flawed Amethyst		18	gfv	3	att		60	60	swing1		8	8	ease		-4	-4	str		8	8	red-dmg		1	1	red-mag		1	1	ac		40	40	block		4	4	block1		6	6
Amethyst		18	gsv	3	att		90	90	swing1		12	12	ease		-6	-6	str		12	12	red-dmg		2	2	red-mag		1	1	ac		60	60	block		6	6	block1		9	9
Flawless Amethyst		17	gzv	3	att		120	120	swing1		16	16	ease		-8	-8	str		16	16	red-dmg		2	2	red-mag		2	2	ac		80	80	block		8	8	block1		12	12
Blemished Amethyst		17	gpv	3	att		150	150	swing2		20	20	ease		-10	-10	str		20	20	red-dmg		3	3	red-mag		2	2	ac		100	100	block		10	10	block2		15	15
Perfect Amethyst		17	gvb	3	att		180	180	swing2		24	24	ease		-12	-12	str		24	24	red-dmg		3	3	red-mag		3	3	ac		120	120	block		12	12	block2		18	18
Chipped Saphire		5	gcb	3	dmg-cold	20	3	6	mana-kill		2	2	deadly		2	2	mana		10	10	cast1		2	2	mana%		1	1	res-cold		10	10	abs-cold		1	1				
Flawed Saphire		5	gfb	3	dmg-cold	40	6	12	mana-kill		4	4	deadly		4	4	mana		20	20	cast1		4	4	mana%		2	2	res-cold		20	20	abs-cold		2	2	res-cold-max		1	1
Saphire		5	gsb	3	dmg-cold	60	9	18	mana-kill		6	6	deadly		6	6	mana		30	30	cast1		6	6	mana%		3	3	res-cold		30	30	abs-cold		3	3	res-cold-max		2	2
Flwless Saphire		6	glb	3	dmg-cold	80	12	24	mana-kill		8	8	deadly		8	8	mana		40	40	cast1		8	8	mana%		4	4	res-cold		40	40	abs-cold		4	4	res-cold-max		3	3
Blemished Saphire		6	gpb	3	dmg-cold	100	15	30	mana-kill		10	10	deadly		10	10	mana		50	50	cast2		10	10	mana%		5	5	res-cold		50	50	abs-cold		5	5	res-cold-max		4	4
Perfect Saphire		6	gbb	3	dmg-cold	120	18	36	mana-kill		12	12	deadly		12	12	mana		60	60	cast2		12	12	mana%		6	6	res-cold		60	60	abs-cold		6	6	res-cold-max		5	5
Chipped Emerald		11	gcg	3	dmg-pois	50	77	77	openwounds		3	3					dex		4	4	att%		2	2	move1		2	2	res-pois		10	10	res-pois-len		6	6				
Flawed Emerald		11	gfg	3	dmg-pois	50	154	154	openwounds		6	6					dex		8	8	att%		4	4	move1		4	4	res-pois		20	20	res-pois-len		12	12	res-pois-max		1	1
Emerald		11	gsg	3	dmg-pois	50	231	231	openwounds		9	9					dex		12	12	att%		6	6	move1		6	6	res-pois		30	30	res-pois-len		18	18	res-pois-max		2	2
Flawless Emerald		12	glg	3	dmg-pois	50	308	308	openwounds		12	12	noheal		1	1	dex		16	16	att%		8	8	move1		8	8	res-pois		40	40	res-pois-len		24	24	res-pois-max		3	3
Blemished Emerald		12	gpg	3	dmg-pois	50	385	385	openwounds		15	15	noheal		1	1	dex		20	20	att%		10	10	move1		10	10	res-pois		50	50	res-pois-len		30	30	res-pois-max		4	4
