class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	11	9	321	637	124	385	29	29	512	567	6	118	58	116	450	506	4	83	54	82	577	632	6	118	55	112	326	380	4	55	54	51	465	488	94	118	23	24	325	348	65	89	23	24	356	379	65	89	23	24	326	378	96	121	52	25	387	441	65	117	54	52	387	441	5	58	54	53
Sorceress	320	640	0	441	11	9	321	637	124	385	29	29	512	567	6	118	58	116	450	506	4	83	54	82	577	632	6	118	55	112	326	380	4	55	54	51	465	488	94	118	23	24	325	348	65	89	23	24	356	379	65	89	23	24	326	378	96	121	52	25	387	441	65	117	54	52	387	441	5	58	54	53
Necromancer	320	640	0	441	11	9	321	637	124	385	29	29	512	567	6	118	58	116	450	506	4	83	54	82	577	632	6	118	55	112	326	380	4	55	54	51	465	488	94	118	23	24	325	348	65	89	23	24	356	379	65	89	23	24	326	378	96	121	52	25	387	441	65	117	54	52	387	441	5	58	54	53
Paladin	320	640	0	441	11	9	321	637	124	385	29	29	512	567	6	118	58	116	450	506	4	83	54	82	577	632	6	118	55	112	326	380	4	55	54	51	465	488	94	118	23	24	325	348	65	89	23	24	356	379	65	89	23	24	326	378	96	121	52	25	387	441	65	117	54	52	387	441	5	58	54	53
Barbarian	320	640	0	441	11	9	321	637	124	385	29	29	512	567	6	118	58	116	450	506	4	83	54	82	577	632	6	118	55	112	326	380	4	55	54	51	465	488	94	118	23	24	325	348	65	89	23	24	356	379	65	89	23	24	326	378	96	121	52	25	387	441	65	117	54	52	387	441	5	58	54	53
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	5	20	305	31	167	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	5	20	305	245	387	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	10	8	16	306	15	241	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	10	10	16	302	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	0	0	-1	-1	-1	-1	29	29	20	75	4	116	55	112	136	191	64	147	55	83	251	307	4	116	56	112	136	191	5	56	55	56	208	233	32	58	25	26	93	118	121	147	25	26	208	233	122	148	25	26	136	191	154	178	55	24	251	306	122	178	55	56	20	75	121	178	55	57
Druid	320	640	0	441	11	9	321	637	124	384	29	29	512	567	6	118	58	116	450	506	4	83	54	82	577	632	6	118	55	112	326	380	4	55	54	51	465	488	94	118	23	24	325	348	65	89	23	24	356	379	65	89	23	24	326	378	96	121	52	25	387	441	65	117	54	52	387	441	5	58	54	53
Assassin	320	640	0	441	11	9	321	637	124	384	29	29	512	567	6	118	58	116	450	506	4	83	54	82	577	632	6	118	55	112	326	380	4	55	54	51	465	488	94	118	23	24	325	348	65	89	23	24	356	379	65	89	23	24	326	378	96	121	52	25	387	441	65	117	54	52	387	441	5	58	54	53
Amazon2	400	720	60	501	11	9	401	717	183	441	29	29	591	646	65	177	55	112	527	583	65	147	56	82	657	712	65	177	55	112	405	459	65	116	54	51	547	570	155	179	23	24	404	427	125	149	23	24	435	458	125	149	23	24	405	457	156	181	52	25	469	523	129	181	54	52	469	523	65	118	54	53
Sorceress2	400	720	60	501	11	9	401	717	183	441	29	29	591	646	65	177	55	112	527	583	65	147	56	82	657	712	65	177	55	112	405	459	65	116	54	51	547	570	155	179	23	24	404	427	125	149	23	24	435	458	125	149	23	24	405	457	156	181	52	25	469	523	129	181	54	52	469	523	65	118	54	53
Necromancer2	400	720	60	501	11	9	401	717	183	441	29	29	591	646	65	177	55	112	527	583	65	147	56	82	657	712	65	177	55	112	405	459	65	116	54	51	547	570	155	179	23	24	404	427	125	149	23	24	435	458	125	149	23	24	405	457	156	181	52	25	469	523	129	181	54	52	469	523	65	118	54	53
Paladin2	400	720	60	501	11	9	401	717	183	441	29	29	591	646	65	177	55	112	527	583	65	147	56	82	657	712	65	177	55	112	405	459	65	116	54	51	547	570	155	179	23	24	404	427	125	149	23	24	435	458	125	149	23	24	405	457	156	181	52	25	469	523	129	181	54	52	469	523	65	118	54	53
Barbarian2	400	720	60	501	11	9	401	717	183	441	29	29	591	646	65	177	55	112	527	583	65	147	56	82	657	712	65	177	55	112	405	459	65	116	54	51	547	570	155	179	23	24	404	427	125	149	23	24	435	458	125	149	23	24	405	457	156	181	52	25	469	523	129	181	54	52	469	523	65	118	54	53
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
