Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Sturdy	100	1	1	1	19	1				28	101	ac%		10	20											armo												0	0	0
Sturdy	100	1	1	4	25	3				28	101	ac%		21	30											armo												0	0	0
Strong	100	1	1	9	31	6				28	101	ac%		31	40											armo												0	0	0
Glorious	100	1	1	19	36	14				28	101	ac%		41	50											armo												0	0	0
Blessed	100	1	1	25	48	18				28	101	ac%		51	65											armo												0	0	0
Saintly	100	1	1	31	60	23				28	101	ac%		66	80											armo												0	0	0
Holy	100	1	1	36		27				28	101	ac%		81	125											armo												0	0	0
Awesome	100	1	1	48		32				28	101	ac%		126	150											armo												0	0	0
Godly	100	1	1	60		38				28	101	ac%		151	200											armo												0	0	0
Devious	100	1	1	7		5				20	102	red-mag		1	1											tors	shld	circ	staf	wand	mana							0	0	0
Blank	100	1	1	14		10				20	102	red-mag		2	2											tors	shld	circ	staf	wand	mana							0	0	0
Null	100	1	1	21		16				20	102	red-mag		3	5											tors	shld	circ	staf	wand	mana							0	0	0
Antimagic	100	1	1	28		21				20	102	red-mag		6	10											tors	shld	circ	staf	wand	mana							0	0	0
Jagged	100	1	1	1	14	1				42	105	dmg%		10	20											weap	circ						staf	wand	mana			0	0	0
Deadly	100	1	1	5	20	3				42	105	dmg%		21	30											weap	circ						staf	wand	mana			0	0	0
Vicious	100	1	1	8	26	6				42	105	dmg%		31	40											weap							staf	wand	mana			0	0	0
Brutal	100	1	1	14	32	10				42	105	dmg%		41	50											weap							staf	wand	mana			0	0	0
Massive	100	1	1	20	39	15				42	105	dmg%		51	65											weap							staf	wand	mana			0	0	0
Savage	100	1	1	26	45	19				42	105	dmg%		66	80											weap							staf	wand	mana			0	0	0
Merciless	100	1	1	32	51	24				42	105	dmg%		81	100											weap							staf	wand	mana			0	0	0
Ruthless	100	1	1	39		33				42	105	dmg%		101	150											weap							staf	wand	mana			0	0	0
Ferocious	100	1	1	45		40				42	105	dmg%		151	200											weap							staf	wand	mana			0	0	0
Cruel	100	1	1	51		46				42	105	dmg%		201	300											weap							staf	wand	mana			0	0	0
Bloodlust	100	1		75		50				14	105	dmg%		400	400	howl		128	128	regen		-8	-8			mele							staf	wand	mana			0	0	0
Vulpine	100	1	1	9		6				18	107	dmg-to-mana		7	12											shld	amul	staf	wand	mana								0	0	0
White	100	1	1	18		12				18	107	dmg-to-mana		14	24											shld	amul	staf	wand	mana								0	0	0
Tireless	100	1	1	6	27	4				16	108	regen-stam		25	25											boot												0	0	0
Tireless	100	1	1	14	50	10				16	108	regen-stam		50	50											boot												0	0	0
Rugged	100	1	1	1	16	1				16	109	stam		5	10											boot	belt	ring	amul	circ	glov							0	0	0
Rugged	100	1	1	8	32	6				16	109	stam		11	20											boot	belt	ring	amul	circ								0	0	0
Vigorous	100	1	1	16	50	12				16	109	stam		21	30											boot	belt											0	0	0
Bronze	100	1	1	1	8	1				22	110	att		10	20											weap	ring	circ	amul	glov			staf	wand	mana			0	0	0
Iron	100	1	1	4	12	3				22	110	att		21	40											weap	ring	circ					staf	wand	mana			0	0	0
Steel	100	1	1	8	17	6				22	110	att		41	60											weap	ring	circ					staf	wand	mana			0	0	0
Silver	100	1	1	12	22	9				22	110	att		61	80											weap	ring	circ					staf	wand	mana			0	0	0
Gold	100	1	1	17	27	12				22	110	att		81	100											weap	ring	circ					staf	wand	mana			0	0	0
Platinum	100	1	1	22	32	16				22	110	att		101	120											weap	ring	circ					staf	wand	mana			0	0	0
Meteoric	100	1	1	27		20				22	110	att		121	150											weap	ring						staf	wand	mana			0	0	0
Strange	100	1	1	32		24				22	110	att		151	300											weap							staf	wand	mana			0	0	0
Weird	100	1	1	37		27				22	110	att		301	450											weap							staf	wand	mana			0	0	0
Sharp	100	1	1	5	27	3				35	111	att		10	20	dmg%		10	20							weap							staf	wand	mana			0	0	0
Fine	100	1	1	12	38	9				35	111	att		21	40	dmg%		21	30							weap							staf	wand	mana			0	0	0
Warrior's	100	1	1	19	47	13				35	111	att		41	60	dmg%		31	40							weap							staf	wand	mana			0	0	0
Soldier's	100	1	1	27	56	19				35	111	att		61	80	dmg%		41	50							weap							staf	wand	mana			0	0	0
Knight's	100	1	1	38	63	30				35	111	att		81	100	dmg%		51	65							weap							staf	wand	mana			0	0	0
Lord's	100	1	1	47	69	39				35	111	att		101	120	dmg%		66	80							weap							staf	wand	mana			0	0	0
King's	100	1	1	56		48				35	111	att		121	150	dmg%		81	100							weap							staf	wand	mana			0	0	0
Master's	100	1	1	63		48				35	111	att		151	250	dmg%		101	150							weap							staf	wand	mana			0	0	0
Grandmaster's	100	1	1	69		61				35	111	att		251	300	dmg%		151	200							weap							staf	wand	mana			0	0	0
Glimmering	100	1	1	1	10	1				14	112	light		1	1	att/lvl	2									armo	staf	mana	wand	ring	amul							0	0	0
Glowing	100	1	1	6	15	4				14	112	light		2	2	att/lvl	4									armo	staf	mana	wand	ring	amul							0	0	0
Screaming	100	0		10	24	7				12	113	howl		16	16											miss												0	0	0
Howling	100	0		16		12				12	113	howl		24	24											miss												0	0	0
Wailing	100	0		24		18				12	113	howl		32	32											miss												0	0	0
Screaming	100	0		10	20	7				12	113	howl		32	32											weap												0	0	0
Howling	100	0		16		12				12	113	howl		64	64											weap												0	0	0
Wailing	100	0		20		13				12	113	howl		128	128											weap												0	0	0
Felicitous	100	1	1	5		3				18	114	mag%		5	12											ring	amul	circ	staf	wand	mana							0	0	0
Fortuitous	100	1	1	12		8				18	114	mag%		13	20											ring	amul	circ	staf	wand	mana							0	0	0
Lizard's	100	1	1	3	14	2				20	115	mana		3	5											staf	wand	ring	amul	armo	mana							0	0	0
Snake's	100	1	1	6	20	4				20	115	mana		5	10											staf	wand	ring	amul	armo	mana							0	0	0
Serpent's	100	1	1	14	24	10				20	115	mana		11	20											staf	wand	ring	amul	armo	mana							0	0	0
Drake's	100	1	1	20	30	15				20	115	mana		21	30											staf	wand	ring	amul	armo	mana							0	0	0
Dragon's	100	1	1	24	37	18				20	115	mana		31	40											staf	wand	ring	amul	armo	mana							0	0	0
Wyrm's	100	1	1	30		22				20	115	mana		41	60											staf	wand	ring	amul	armo	mana							0	0	0
Great Wyrm's	100	1	1	37		29				20	115	mana		61	90											staf	wand	ring	amul	armo	mana							0	0	0
Bahamut's	100	1		45		37				20	115	mana		91	120											staf	wand	ring	amul	armo	mana							0	0	0
Shimmering	100	1	1	6	28	4				22	116	res-all		3	7											amul	circ	ring										0	0	0
Rainbow	100	1	1	18	39	13				22	116	res-all		8	11											amul	circ	ring										0	0	0
Scintillating	100	1	1	28		21				22	116	res-all		12	15											amul	circ	ring										0	0	0
Prismatic	100	1	1	39		31				22	116	res-all		16	20											amul	circ											0	0	0
Chromatic	100	1		50		42				22	116	res-all		21	30											amul	circ											0	0	0
Shimmering	100	1	1	6	28	4				28	116	res-all		3	14											shld												0	0	0
Rainbow	100	1	1	18	39	13				28	116	res-all		15	22											shld												0	0	0
Scintillating	100	1	1	28		21				28	116	res-all		23	30											shld												0	0	0
Prismatic	100	1	1	39		31				28	116	res-all		31	40											shld												0	0	0
Chromatic	100	1		50		42				28	116	res-all		41	60											shld												0	0	0
Azure	100	1	1	5	30	3				18	117	res-cold		5	10											amul	circ	ring	armo									0	0	0
Lapis	100	1	1	12	45	9				18	117	res-cold		11	20											amul	circ	ring	armo									0	0	0
Cobalt	100	1	1	18		13				18	117	res-cold		21	30											amul	circ	ring	armo									0	0	0
Sapphire	100	1	1	25		18				18	117	res-cold		31	40											amul	circ	boot										0	0	0
Crimson	100	1	1	5	30	3				18	118	res-fire		5	10											amul	circ	ring	armo									0	0	0
