Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Health	100	1	1	7	18	5				18	1	red-dmg		1	2											amul	ring	armo	staf	wand						0	0	0
of Protection	100	1	1	18	26	18				18	1	red-dmg		3	4											amul	ring	armo	staf	wand						0	0	0
of Absorption	100	1	1	26	35	24				18	1	red-dmg		5	6											amul	ring	armo	staf	wand						0	0	0
of Life	100	1	1	35		33				18	1	red-dmg		7	14											amul	ring	armo	staf	wand						0	0	0
of Anima	100	1	1	45		43				18	1	red-dmg		15	24											amul	circ	tors	shld							0	0	0
of Life Everlasting	100	1	1	75		70				18	1	red-dmg		25	50											amul	circ									0	0	0
of Warding	100	1	1	7	18	5				18	2	red-mag		1	2											ring	armo	staf	wand							0	0	0
of the Sentinel	100	1	1	18	26	12				18	2	red-mag		3	4											ring	armo	staf	wand							0	0	0
of Guarding	100	1	1	26		19				18	2	red-mag		5	12											ring	armo	staf	wand							0	0	0
of Negation	100	1	1	42		35				18	2	red-mag		13	24											circ	tors	shld								0	0	0
of Avoidance	100	1	1	9	15	6				18	3	ac-miss		50	100											helm	tors	shld	boot	staf	wand					0	0	0
of Ducking	100	1	1	9	15	6				18	3	ac-hth		50	100											helm	tors	shld	boot	staf	wand					0	0	0
of Evasion	100	1	1	15	35	16				18	3	ac-miss		100	200											helm	tors	shld	boot	staf	wand					0	0	0
of Elusion	100	1	1	15	35	16				18	3	ac-hth		100	200											helm	tors	shld	boot	staf	wand					0	0	0
of Piercing	100	1	1	25		18				16	4	ignore-ac		1	1											scep	knif	claw	asnx							0	0	0
of Puncturing	100	1	1	15	30	8				20	5	dmg-ac		-20	-50											weap										0	0	0
of Bashing	100	1	1	30	45	16				20	5	dmg-ac		-51	-120											weap										0	0	0
of Bashing	100	1	1	45		24				20	5	dmg-ac		-121	-200											weap										0	0	0
of Dummy	100	1	1	1		1				1	5	dmg-ac		0	0											xcha	ycha									0	0	0
of Thorns	100	0	1	14	21	10				20	6	thorns		10	40											helm	tors	shld	belt							0	0	0
of Spikes	100	0	1	21	34	20				20	6	thorns		41	80											helm	tors	shld	belt							0	0	0
of Razors	100	0	1	34	47	30				20	6	thorns		81	160											circ	tors	shld								0	0	0
of Swords	100	0	1	47		45				20	6	thorns		161	320											circ	tors	shld								0	0	0
of Readiness	100	1	1	5	25	3				20	7	swing1		10	10											weap	glov						staf	wand		0	0	0
of Alacrity	100	1	1	25		17				20	7	swing2		20	20											weap	glov						staf	wand		0	0	0
of Swiftness	100	1	1	34		26				20	7	swing2		30	30											mele							staf	wand		0	0	0
of Quickness	100	1	1	46		38				20	7	swing3		40	40											mele							staf	wand		0	0	0
of Blocking	100	1	1	1		1				76	8	block		10	10	block2		15	15							shld										0	0	0
of Deflecting	100	1	1	11		8				76	8	block		20	20	block2		30	30							shld										0	0	0
of the Apprentice	100	1	1	7		5				40	9	cast1		10	10											circ	staf	wand	amul	ring						0	0	0
of the Magus	100	1	1	17		15				20	9	cast3		15	15											circ	staf	wand								0	0	0
of the Magus	100	1	1	27		25				20	9	cast3		20	20											circ	staf	wand								0	0	0
of Frost	100	1	1	4	25	3				16	10	cold-min		1	2	cold-max		3	11	cold-len		50	50			weap	amul	ring	belt							0	0	0
of the Icicle	100	1	1	15	34	15				16	10	cold-min		3	5	cold-max		12	35	cold-len		75	75			weap	amul	ring	belt							0	0	0
of the Glacier	100	1	1	25	50	27				16	10	cold-min		6	10	cold-max		36	70	cold-len		100	100			mele										0	0	0
of Winter	100	1	1	34		39				16	10	cold-min		11	20	cold-max		71	140	cold-len		150	150			mele										0	0	0
of the Iceburg	100	1		50		51				16	10	cold-min		21	40	cold-max		141	280	cold-len		200	200			mele										0	0	0
of Flame	100	1	1	4	25	3				16	11	fire-min		1	3	fire-max		4	12							weap	amul	ring	glov							0	0	0
of Fire	100	1	1	15	34	15				16	11	fire-min		4	7	fire-max		13	37							weap	amul	ring	glov							0	0	0
of Burning	100	1	1	25	50	27				16	11	fire-min		8	15	fire-max		38	75							weap										0	0	0
of Incineration	100	1	1	34		39				16	11	fire-min		16	30	fire-max		76	150							mele										0	0	0
of Wildfire	100	1		50		51				16	11	fire-min		31	60	fire-max		151	300							mele										0	0	0
of Shock	100	1	1	4	25	3				16	12	ltng-min		1	1	ltng-max		5	16							weap	amul	ring	boot							0	0	0
of Lightning	100	1	1	15	34	15				16	12	ltng-min		1	1	ltng-max		17	50							weap	amul	ring	boot							0	0	0
of Thunder	100	1	1	25	50	27				16	12	ltng-min		1	1	ltng-max		51	100							weap										0	0	0
of Storms	100	1	1	34		39				16	12	ltng-min		1	1	ltng-max		101	200							mele										0	0	0
of Arcing	100	1		50		51				16	12	ltng-min		1	1	ltng-max		201	400							mele										0	0	0
of Blight	100	1	1	4	25	3				16	13	dmg-pois	50	103	103											weap	circ	amul	ring							0	0	0
of Venom	100	1	1	15	34	15				16	13	dmg-pois	75	137	137											weap	circ									0	0	0
of Pestilence	100	1	1	25	50	27				16	13	dmg-pois	100	205	205											weap	circ									0	0	0
of Anthrax	100	1	1	34		39				16	13	dmg-pois	125	328	328											mele										0	0	0
of Toxin	100	1		50		51				16	13	dmg-pois	150	547	547											mele										0	0	0
of Worth	100	1	1	1	12	3				14	14	dmg-min		1	1						20					weap	amul	ring	circ	tors			staf	wand		0	0	0
of Measure	100	1	1	12	24	15				14	14	dmg-min		2	3						40					weap	amul	ring	circ				staf	wand		0	0	0
of Excellence	100	1	1	24	48	27				14	14	dmg-min		4	6						80					weap	amul	ring	circ				staf	wand		0	0	0
of Performance	100	1	1	48		39				14	14	dmg-min		7	12						160					weap	amul	ring	circ				staf	wand		0	0	0
of Transcendence	100	1	1	76		51				14	14	dmg-min		13	20						320					weap	amul						staf	wand		0	0	0
of Craftsmanship	100	1	1	1	24	1				18	15	dmg-max		1	2											weap	circ	amul	ring	helm	shld		staf	wand		0	0	0
of Quality	100	1	1	5	32	5				18	15	dmg-max		3	4											weap	circ	amul	ring	helm	shld		staf	wand		0	0	0
of Maiming	100	1	1	8	40	8				18	15	dmg-max		5	7											weap	circ						staf	wand		0	0	0
of Slaying	100	1	1	14	48	14				18	15	dmg-max		8	12											weap	circ						staf	wand		0	0	0
of Gore	100	1	1	22	56	22				18	15	dmg-max		13	20											weap	circ						staf	wand		0	0	0
of Carnage	100	1	1	30	64	30				18	15	dmg-max		21	30											weap							staf	wand		0	0	0
of Slaughter	100	1	1	38		38				18	15	dmg-max		31	40											weap							staf	wand		0	0	0
of Butchery	100	1	1	46		46				18	15	dmg-max		41	55											weap							staf	wand		0	0	0
of Evisceration	100	1	1	54		54				18	15	dmg-max		56	80											weap							staf	wand		0	0	0
of Remedy	100	1	1	7	25	5				18	16	res-pois-len		25	25											amul	ring	armo								0	0	0
of Amelioration	100	1	1	18		13				18	16	res-pois-len		50	50											amul	ring	armo								0	0	0
of Defiance	100	1	1	25		18				18	16	res-pois-len		75	75											amul	helm	tors	shld							0	0	0
of Warmth	100	1	1	10		7				20	17	half-freeze		1	1											amul	ring	armo								0	0	0
of Balance	100	1	1	5		3				20	18	balance1		10	10											armo										0	0	0
of Equilibrium	100	1	1	9		6				20	18	balance2		17	17											tors	belt	shld								0	0	0
of Stability	100	1	1	18		13				20	18	balance3		24	24											tors	belt									0	0	0
