Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	9	122	176	9	122	176	9	129	259	9	129	259	12	321	2490	12	321	2490	2	3	4	2	3	4	12	58	117	12	58	117
2	18	136	194	18	136	194	14	151	304	14	151	304	18	339	2556	18	339	2556	3	4	6	3	4	6	18	78	156	18	78	156
3	27	149	212	27	149	212	21	172	350	21	172	350	27	360	2625	27	360	2625	3	4	6	3	4	6	27	98	197	27	98	197
4	36	162	230	36	162	230	31	194	396	31	194	396	36	375	2691	36	375	2691	4	5	7	4	5	7	34	117	234	34	117	234
5	45	177	248	45	177	248	42	214	437	42	214	437	43	396	2760	43	396	2760	4	5	7	4	5	7	41	136	273	41	136	273
6	54	190	266	54	190	266	54	235	483	54	235	483	52	417	2826	52	417	2826	5	7	9	5	7	9	48	155	311	48	155	311
7	63	203	283	63	203	283	67	257	527	67	257	527	62	435	2895	62	435	2895	5	7	9	5	7	9	56	175	351	56	175	351
8	72	217	302	72	217	302	80	278	573	80	278	573	74	456	2961	74	456	2961	6	8	11	6	8	11	64	195	390	64	195	390
9	81	230	320	81	230	320	92	296	612	92	296	612	87	471	3030	87	471	3030	7	9	13	7	9	13	72	213	428	72	213	428
10	90	245	337	90	245	337	104	318	656	104	318	656	99	492	3096	99	492	3096	7	9	13	7	9	13	80	234	468	80	234	468
11	99	258	356	99	258	356	118	339	701	118	339	701	103	513	3165	103	513	3165	8	11	15	8	11	15	88	253	507	88	253	507
12	108	271	373	108	271	373	131	360	745	131	360	745	115	531	3231	115	531	3231	8	11	15	8	11	15	96	272	545	96	272	545
13	117	285	391	117	285	391	142	377	782	142	377	782	128	552	3300	128	552	3300	9	12	17	9	12	17	106	300	602	106	300	602
14	126	298	410	126	298	410	155	398	827	155	398	827	140	567	3366	140	567	3366	10	13	19	10	13	19	118	330	660	118	330	660
15	135	313	427	135	313	427	167	420	871	167	420	871	153	588	3435	153	588	3435	10	13	19	10	13	19	131	361	723	131	361	723
16	144	326	445	144	326	445	181	440	915	181	440	915	165	609	3501	165	609	3501	11	15	20	11	15	20	145	399	800	145	399	800
17	153	339	463	153	339	463	192	457	949	192	457	949	178	627	3570	178	627	3570	11	15	20	11	15	20	162	438	876	162	438	876
18	162	352	481	162	352	481	204	477	993	204	477	993	190	648	3636	190	648	3636	12	16	22	12	16	22	179	483	966	179	483	966
19	171	366	500	171	366	500	217	498	1037	217	498	1037	203	663	3705	203	663	3705	13	17	24	13	17	24	198	531	1062	198	531	1062
20	180	380	517	180	380	517	229	519	1081	229	519	1081	218	684	3771	218	684	3771	13	17	24	13	17	24	218	584	1169	218	584	1169
21	189	394	535	189	394	535	240	533	1113	240	533	1113	234	708	3840	234	708	3840	14	19	26	14	19	26	229	642	1286	229	642	1286
22	198	407	553	198	407	553	252	554	1156	252	554	1156	252	729	3906	252	729	3906	14	19	26	14	19	26	241	706	1413	241	706	1413
23	207	420	571	207	420	571	265	574	1199	265	574	1199	267	744	3975	267	744	3975	15	20	28	15	20	28	265	776	1553	265	776	1553
24	216	434	589	216	434	589	277	595	1243	277	595	1243	282	765	4041	282	765	4041	16	21	30	16	21	30	292	854	1709	292	854	1709
25	225	448	607	225	448	607	286	610	1272	286	610	1272	300	783	4110	300	783	4110	16	21	30	16	21	30	313	915	1830	313	915	1830
26	234	462	625	234	462	625	299	629	1316	299	629	1316	318	804	4176	318	804	4176	17	23	31	17	23	31	335	978	1958	335	978	1958
27	243	475	643	243	475	643	312	650	1358	312	650	1358	339	825	4245	339	825	4245	17	23	31	17	23	31	359	1047	2096	359	1047	2096
28	252	488	661	252	488	661	324	670	1401	324	670	1401	360	840	4311	360	840	4311	18	24	33	18	24	33	385	1120	2241	385	1120	2241
29	261	501	679	261	501	679	333	683	1429	333	683	1429	378	861	4380	378	861	4380	19	25	35	19	25	35	412	1198	2397	412	1198	2397
30	270	516	697	270	516	697	345	704	1471	345	704	1471	402	960	4446	402	960	4446	19	25	35	19	25	35	442	1281	2564	442	1281	2564
31	279	529	715	279	529	715	358	723	1514	358	723	1514	426	1065	4515	426	1065	4515	20	27	37	20	27	37	474	1374	2748	474	1374	2748
32	288	543	732	288	543	732	370	744	1555	370	744	1555	450	1164	4581	450	1164	4581	20	27	37	20	27	37	509	1468	2937	509	1468	2937
33	297	556	751	297	556	751	378	755	1581	378	755	1581	474	1269	4650	474	1269	4650	21	28	39	21	28	39	545	1572	3146	545	1572	3146
34	306	569	769	306	569	769	390	775	1623	390	775	1623	498	1368	4716	498	1368	4716	22	29	41	22	29	41	583	1680	3362	583	1680	3362
35	315	584	786	315	584	786	402	795	1665	402	795	1665	522	1473	4785	522	1473	4785	22	29	41	22	29	41	623	1799	3599	623	1799	3599
36	324	597	805	324	597	805	415	815	1707	415	815	1707	546	1575	4851	546	1575	4851	23	31	43	23	31	43	667	1926	3852	667	1926	3852
37	333	610	822	333	610	822	422	826	1730	422	826	1730	570	1677	4920	570	1677	4920	23	31	43	23	31	43	714	2058	4118	714	2058	4118
38	342	624	840	342	624	840	434	845	1771	434	845	1771	594	1779	4986	594	1779	4986	24	32	44	24	32	44	764	2204	4409	764	2204	4409
39	351	637	859	351	637	859	445	865	1813	445	865	1813	618	1881	5055	618	1881	5055	25	33	46	25	33	46	818	2358	4716	818	2358	4716
40	360	652	876	360	652	876	457	885	1854	457	885	1854	645	1983	5121	645	1983	5121	25	33	46	25	33	46	874	2523	5048	874	2523	5048
41	369	665	894	369	665	894	465	894	1875	465	894	1875	675	2088	5190	675	2088	5190	26	35	48	26	35	48	936	2700	5400	936	2700	5400
42	378	678	912	378	678	912	477	914	1916	477	914	1916	702	2187	5256	702	2187	5256	26	35	48	26	35	48	1001	2889	5778	1001	2889	5778
43	387	692	930	387	692	930	488	933	1957	488	933	1957	729	2292	5325	729	2292	5325	27	36	50	27	36	50	1071	3090	6182	1071	3090	6182
