Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeleton1	0	skeleton1	skeleton2	0	Skeleton	skeleton1		skeleton	Skeleton		SK	1													1	3		3	3	2	3	39	71	skeleton	skeleton	10	15	14	13				60	65	70	15	12	10	75	80	85	75	75	75																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20						50						75	40	20	20	110	20	80	2				10	10	10	10	130	194	84	172	34	101	101	34	101	101				158	226	150	180	60	150	180	60	157	187				210	300	200	340	80	200	240	80	210	250																																														A1A Sol	Act 1 Champ A	Act 1 Unique A		A1A Sol (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		A1A Sol (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
skeleton2	1	skeleton1	skeleton3	1	Returned	skeleton2		skeleton	Skeleton		SK	1													2	3		4	4	2	7	40	72	skeleton	skeleton	10	15	14	13				70	75	80	12	10	7	80	85	90	25	25	25																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20						50						75	40	20	20	20	20	100	2				15	15	15	10	132	192	84	172	41	101	93	41	101	93				158	226	150	180	60	150	180	60	157	187				210	300	200	340	80	200	240	80	210	250																																														A1B Sol	Act 1 Champ B	Act 1 Unique B		A1B Sol (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Sol (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton3	2	skeleton1	skeleton4	2	BoneWarrior	skeleton3		skeleton	Skeleton		SK	1													2	4		4	4	2	8	41	88	skeleton	skeleton	10	15	14	13				80	85	90	9	8	7	85	90	95	50	50	50																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20					40	50					60	75	40	20	20	20	100	80	2				20	20	20	10	134	186	84	170	41	121	94	41	121	94				158	226	150	180	60	150	180	60	157	187				210	300	200	340	80	200	240	80	210	250																																														A1B Sol	Act 1 Champ B	Act 1 Unique B		A1B Sol (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Sol (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton4	3	skeleton1	skeleton5	3	BurningDead	skeleton4		skeleton	Skeleton		SK	1													2	4		5	5	2	14	45	77	skeleton	skeleton	10	15	14	13				90	95	95	7	6	5	90	95	99	66	66	66																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20			50			50			75			75	40	20	100	20	20	80	2				25	25	25	10	140	200	84	170	45	101	93	34	101	93				158	226	150	180	60	150	180	60	157	187				210	300	200	340	80	180	220	80	210	250				A1	fire	50	22	55		50	25	55		50	25	55																														A2A Sol	Act 2 Champ A	Act 2 Unique A		A2A Sol (N)	Act 2 (N) Champ A	Act 2 (N) Unique A		A2A Sol (H)	Act 2 (H) Champ A	Act 2 (H) Unique A								0
skeleton5	4	skeleton1	skeleton6	4	Horror	skeleton5		skeleton	Skeleton		SK	1													2	4		5	5	2	15	46	81	skeleton	skeleton	10	15	14	13				99	99	99	5	5	5	95	99	99	33	33	33																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20		20		60		50		40		80		75	40	90	20	130	20	80	2				30	30	30	10	142	198	84	170	41	101	94	31	101	94				158	226	150	180	60	150	180	60	157	187				210	300	200	340	80	200	240	80	190	230				A2	ltng	60	30	60		60	30	50		60	30	50																														A2A Sol	Act 2 Champ A	Act 2 Unique A		A2A Sol (N)	Act 2 (N) Champ A	Act 2 (N) Unique A		A2A Sol (H)	Act 2 (H) Champ A	Act 2 (H) Unique A								0
zombie1	5	zombie1	zombie2	0	Zombie	zombie1	epierce	zombie	Zombie		ZM	1													1	2		1	3	2	2	38	70	zombie	zombieunique	10	15	14	13				30	40	50	10	15	20				20	25	30																						1	1					1							1	1							1																										100	40	11	-50	-40	-20						50						75	55	20	20	20	120	80	2				3	3	3	10	152	272	84	222	51	151	101	101	151	101				236	338	120	230	90	210	157	105	225	165				316	450	160	420	120	280	210	140	300	220																																														A1A Sol	Act 1 Champ A	Act 1 Unique A		A1A Sol (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		A1A Sol (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie2	6	zombie1	zombie3	1	HungryDead	zombie2	epierce	zombie	Zombie		ZM	1													1	3		1	4	2	3	39	71	zombie	zombieunique	10	15	14	13				40	50	60	15	20	25				25	30	35																						1	1					1							1	1							1																										100	40	11	-50	-40	-20						50						75	55	20	20	120	20	80	2				4	4	4	10	152	280	84	222	34	101	101	101	134	101				236	338	120	230	90	210	157	105	225	165				316	450	160	420	120	280	210	140	300	220																																														A1A Sol	Act 1 Champ A	Act 1 Unique A		A1A Sol (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		A1A Sol (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie3	7	zombie1	zombie4	2	Ghoul	zombie3	epierce	zombie	Zombie		ZM	1													2	3		1	4	2	13	45	76	zombie	zombieunique	10	15	14	13				50	60	70	20	25	30				30	35	40																						1	1					1							1	1							1																										100	40	11	-50	-40	-20						50						75	55	20	100	20	20	80	2				13	13	13	10	162	296	84	218	51	138	93	113	163	93				236	338	120	230	90	210	157	105	225	165				316	450	160	420	120	280	210	140	300	220																																														A1C Sol	Act 1 Champ C	Act 1 Unique C		A1C Sol (N)	Act 1 (N) Champ C	Act 1 (N) Unique C		A1C Sol (H)	Act 1 (H) Champ C	Act 1 (H) Unique C								0
zombie4	8	zombie1	zombie5	3	DrownedCarcass	zombie4	epierce	zombie	Zombie		ZM	1													2	4		1	5	2	23	52	83	zombie	zombieunique	10	15	14	13				100	100	100	30	30	30				35	40	45																						1	1					1							1	1							1																										100	40	11	-50	-40	-20	20		50			50	50		75			75	55	20	110	20	20	80	2				22	22	22	10	162	288	85	218	51	136	94	108	165	94				236	338	120	230	90	210	157	105	225	165				316	450	160	420	110	270	210	140	300	220				A1	cold	75	21	42	25	75	20	40	75	75	20	40	100																													A3A Sol	Act 3 Champ A	Act 3 Unique A		A3A Sol (N)	Act 3 (N) Champ A	Act 3 (N) Unique A		A3A Sol (H)	Act 3 (H) Champ A	Act 3 (H) Unique A								0
zombie5	9	zombie1		4	PlagueBearer	zombie5	epierce	zombie	Zombie		ZM	1													3	4		1	5	2	18	48	80	zombie	zombieunique	10	15	14	13				60	70	80	25	30	30				40	45	50																						1	1					1							1	1							1																										100	40	11	-50	-40	-20		50				50		75				75	55	105	20	20	20	80	2				17	17	17	10	164	288	84	218	55	137	92	101	164	92				236	338	120	230	90	210	157	105	225	165				316	450	160	420	110	270	210	140	300	220				A1	pois	50	27	54	400	50	25	25	400	50	25	25	400																													A2B Sol	Act 2 Champ B	Act 2 Unique B		A2B Sol (N)	Act 2 (N) Champ B	Act 2 (N) Unique B		A2B Sol (H)	Act 2 (H) Champ B	Act 2 (H) Unique B								0
