overlay	Filename	version	Frames	Character	PreDraw	1ofN	Dir	Open	Beta	Xoffset	Yoffset	Height1	Height2	Height3	Height4	AnimRate	LoopWaitTime	Trans	InitRadius	Radius	Red	Green	Blue	NumDirections	LocalBlood
null	null	0	2	all	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
lightning	ShockHitSm	0	20	?	0	1	0	1	1	0	0	0	0	0	0	16	0	3	11	11	255	255	255	1	0
cast_resistfire	ResistFireDemonCast	0	20	Paladin	0	1	0	1	1	2	-7	0	0	0	0	12	0	3	1	10	255	193	103	1	0
aura_resistfire	ResistFireDemon	0	8	Paladin	1	1	0	1	1	-5	-18	0	0	0	0	8	0	3	6	6	255	193	103	1	0
cast_resistcold	ResistColdHorrorCast	0	13	Paladin	0	1	0	1	1	-10	-15	0	0	0	0	12	0	3	1	10	210	210	255	1	0
aura_resistcold	ResistColdHorror	0	6	Paladin	1	1	0	1	1	30	-10	0	0	0	0	8	0	3	6	6	210	210	255	1	0
cast_resistlight	ResistLtngWraithCast	0	19	Paladin	0	1	0	1	1	10	-20	0	0	0	0	12	0	3	1	10	255	255	200	1	0
aura_resistlight	ResistLtngWraith	0	14	Paladin	1	1	0	1	1	7	-19	0	0	0	0	8	0	3	6	6	255	255	200	1	0
cast_resistall	ResistAllIzCast	0	20	Paladin	1	1	0	0	0	0	0	0	0	0	0	8	0	3	1	10	211	148	255	1	0
aura_resistall_front	null	0	2	Paladin	0	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_resistall_back	ResistAllIz	0	20	Paladin	1	1	0	0	0	0	0	0	0	0	0	8	0	3	6	6	211	148	255	1	0
aura_might_front	null	0	2	Paladin	0	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_might_back	MightBeast	0	18	Paladin	1	1	0	1	1	20	-40	0	0	0	0	4	0	3	0	0	255	255	255	1	0
aura_prayer_front	null	0	2	Paladin	0	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
aura_prayer_back	PrayerHalbu	0	111	Paladin	1	1	0	1	1	30	0	0	0	0	0	12	0	3	0	0	255	255	255	1	0
aura_holyfire_front	null	0	2	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_holyfire_back	HolyFire	0	12	Paladin	1	1	0	1	1	-35	10	0	0	0	0	8	0	3	0	0	255	255	255	1	0
hit_holyfire	FireExplode	0	12	Paladin	0	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
target_holyfire	AuraHfireIndicate	0	19	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_thorns_front	null	0	2	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
aura_thorns_back	ThornsQuill	0	18	Paladin	1	1	0	1	1	40	30	0	0	0	0	8	0	3	0	0	255	255	255	1	0
hit_thorns	ThornsHitQuill	0	12	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
