Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword1	Holy	1		tors	shld	helm	boot	belt						gcw						gethit-skill	ctcFist of the Heavens	2	1																									0
Runeword2	Holy	1		tors	shld	helm	boot	belt						gfw						gethit-skill	ctcFist of the Heavens	3	2																									0
Runeword3	Holy	1		tors	shld	helm	boot	belt						gsw						gethit-skill	ctcFist of the Heavens	4	3																									0
Runeword4	Holy	1		tors	shld	helm	boot	belt						glw						gethit-skill	ctcFist of the Heavens	5	4																									0
Runeword5	Holy	1		tors	shld	helm	boot	belt						gpw						gethit-skill	ctcFist of the Heavens	6	5																									0
Runeword6	Holy	1		tors	shld	helm	boot	belt						gwb						gethit-skill	ctcFist of the Heavens	8	7																									0
Runeword7	Holy	1		tors	shld	helm	boot	belt						gcw	gcw					gethit-skill	ctcFist of the Heavens	4	2																									0
Runeword8	Holy	1		tors	shld	helm	boot	belt						gfw	gfw					gethit-skill	ctcFist of the Heavens	5	3																									0
Runeword9	Holy	1		tors	shld	helm	boot	belt						gsw	gsw					gethit-skill	ctcFist of the Heavens	6	4																									0
Runeword10	Holy	1		tors	shld	helm	boot	belt						glw	glw					gethit-skill	ctcFist of the Heavens	7	5																									0
Runeword11	Holy	1		tors	shld	helm	boot	belt						gpw	gpw					gethit-skill	ctcFist of the Heavens	8	6																									0
Runeword12	Holy	1		tors	shld	helm	boot	belt						gwb	gwb					gethit-skill	ctcFist of the Heavens	10	8																									0
Runeword13	Holy	1		tors	shld	helm								gcw	gcw	gcw				gethit-skill	ctcFist of the Heavens	6	3																									0
Runeword14	Holy	1		tors	shld	helm								gfw	gfw	gfw				gethit-skill	ctcFist of the Heavens	7	4																									0
Runeword15	Holy	1		tors	shld	helm								gsw	gsw	gsw				gethit-skill	ctcFist of the Heavens	8	5																									0
Runeword16	Holy	1		tors	shld	helm								glw	glw	glw				gethit-skill	ctcFist of the Heavens	9	6																									0
Runeword17	Holy	1		tors	shld	helm								gpw	gpw	gpw				gethit-skill	ctcFist of the Heavens	10	7																									0
Runeword18	Holy	1		tors	shld	helm								gwb	gwb	gwb				gethit-skill	ctcFist of the Heavens	12	9																									0
Runeword19	Holy	1		tors	shld	helm								gcw	gcw	gcw	gcw			gethit-skill	ctcFist of the Heavens	8	4																									0
Runeword20	Holy	1		tors	shld	helm								gfw	gfw	gfw	gfw			gethit-skill	ctcFist of the Heavens	9	5																									0
Runeword21	Holy	1		tors	shld	helm								gsw	gsw	gsw	gsw			gethit-skill	ctcFist of the Heavens	10	6																									0
Runeword22	Holy	1		tors	shld	helm								glw	glw	glw	glw			gethit-skill	ctcFist of the Heavens	11	7																									0
Runeword23	Holy	1		tors	shld	helm								gpw	gpw	gpw	gpw			gethit-skill	ctcFist of the Heavens	12	8																									0
Runeword24	Holy	1		tors	shld	helm								gwb	gwb	gwb	gwb			gethit-skill	ctcFist of the Heavens	14	10																									0
Runeword25	Holy	1		tors										gcw	gcw	gcw	gcw	gcw		gethit-skill	ctcFist of the Heavens	10	5																									0
Runeword26	Holy	1		tors										gfw	gfw	gfw	gfw	gfw		gethit-skill	ctcFist of the Heavens	11	6																									0
Runeword27	Holy	1		tors										gsw	gsw	gsw	gsw	gsw		gethit-skill	ctcFist of the Heavens	12	7																									0
Runeword28	Holy	1		tors										glw	glw	glw	glw	glw		gethit-skill	ctcFist of the Heavens	13	8																									0
Runeword29	Holy	1		tors										gpw	gpw	gpw	gpw	gpw		gethit-skill	ctcFist of the Heavens	14	9																									0
Runeword30	Holy	1		tors										gwb	gwb	gwb	gwb	gwb		gethit-skill	ctcFist of the Heavens	16	11																									0
Runeword31	Holy	1		tors										gcw	gcw	gcw	gcw	gcw	gcw	gethit-skill	ctcFist of the Heavens	12	6																									0
Runeword32	Holy	1		tors										gfw	gfw	gfw	gfw	gfw	gfw	gethit-skill	ctcFist of the Heavens	13	7																									0
Runeword33	Holy	1		tors										gsw	gsw	gsw	gsw	gsw	gsw	gethit-skill	ctcFist of the Heavens	14	8																									0
Runeword34	Holy	1		tors										glw	glw	glw	glw	glw	glw	gethit-skill	ctcFist of the Heavens	15	9																									0
