index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
General Class Sets (ES)																																																					openwounds		100	100																																					0
Autolycus' Robes	Autolycus' Magic Tools	qui	Quilted Armor	7	5	3								5	2500	2	tinkerflag2		25	35	ac		30	30	res-all		10	10	dex		5	5																					ac/lvl	32			dex		15	15	move2		20	20																													0
Autolycus' Thieving Tools	Autolycus' Magic Tools	vbl	Light Belt	6	5	3								5	2500	2	tinkerflag2		25	35	gold%		100	100	ac		10	10	mag%		25	25																					gold%		100	100	mag%		25	25	red-dmg		2	2																													0
Boots of Sneaking	Autolycus' Magic Tools	lbt	Boots	6	5	3								5	2500	2	tinkerflag2		25	35	mag%		50	50	dex		10	10	ac		5	5																					mag%		50	50	balance1		10	10	red-mag		2	2																													0
Achilles' Force	Achilles' Advantage	hgl	Gauntlets	7	25	20								5	2500	2	tinkerflag2		25	35	att%		20	20	dmg%		20	20	swing2		20	20																					att/lvl	10			dmg/lvl	8			att%		20	20																													0
Achilles' Girdle	Achilles' Advantage	hbl	Plated Belt	7	25	20								5	2500	2	tinkerflag2		25	35	ac		25	25	str		25	25	thorns		25	25																					vit		15	15	thorns/lvl	40			str/lvl	4																															0
Achilles' Heel	Achilles' Advantage	hbt	Greaves	7	25	20								5	2500	2	tinkerflag2		25	35	move3		40	40	res-ltng		-40	-40	regen-stam		25	25																					balance3		30	30	enr		15	15	dex		25	25																													0
Helm of Spirits	Diablo's End	fhl	Full Helm	3	30	25								6	5000	2	tinkerflag2		25	35	lifesteal		5	5	manasteal		5	5	ac/lvl	28			vit		15	15																	regen		15	15	regen-mana		45	45	enr		15	15																													0
Optic Amulet	Diablo's End	amu	Amulet	6	30	25			invamu6					6	5000	2	mana%		15	20	res-ltng		40	40	light		4	4	red-dmg		6	6																					abs-ltng%		20	20	res-ltng-max		10	10	red-mag		6	6																													0
Armor of Gloom	Diablo's End	ful	Full Plate Mail	7	30	25								6	5000	2	tinkerflag2		25	35	ease		-100	-100	ac		60	60	light		-2	-2	ac/lvl	28																			ac/lvl	28			dmg%		50	50	thorns/lvl	40																															0
