Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Gold			1						"gld,mul=1024"	1																						0
Nothing			0																													
Ammo			1	512		768			aq2	1	cq2	1																				0
Misc 0			1						key	6	tsc	4	isc	4	opl	2	gpl	2	vps	1	yps	2	wms	1								0
Misc 1			1						key	6	tsc	4	isc	4	opm	2	gpm	2	vps	1	yps	2	wms	1								0
Misc 2			1						key	6	tsc	4	isc	4	ops	2	gps	2	vps	1	yps	2	wms	1								0
Potion 1			1						hp1	12	hp2	4	mp1	6	mp2	2	rvs	1														0
Potion 2			1						hp1	4	hp2	8	hp3	4	mp1	2	mp2	4	mp3	2	rvs	1										0
Potion 3			1						hp2	8	hp3	8	mp2	4	mp3	4	rvs	1														0
Potion 4			1						hp2	4	hp3	8	hp4	4	mp2	2	mp3	4	mp4	2	rvs	1										0
Potion 5			1						hp3	8	hp4	8	mp3	4	mp4	4	rvs	1														0
Potion 6			1						hp3	6	hp4	4	hp5	2	mp3	6	mp4	4	mp5	2	rvs	1										0
Potion 7			1						hp4	4	hp5	4	mp4	2	mp5	2	rvs	1														0
Act 1 Junk			1						Potion 1	8	Misc 0	3	Ammo	1																		0
Act 2 Junk			1						Potion 2	8	Misc 0	3	Ammo	1																		0
Act 3 Junk			1						Potion 3	8	Misc 1	3	Ammo	1																		0
Act 4 Junk			1						Potion 4	8	Misc 1	3	Ammo	1																		0
Act 5 Junk			1						Potion 5	8	Misc 2	3	Ammo	1																		0
Act 1 (N) Junk			1					10	Potion 6	8	Ammo	1																				0
Act 2 (N) Junk			1					10	Potion 6	8	Ammo	1																				0
Act 3 (N) Junk			1					10	Potion 6	8	Ammo	1																				0
Act 4 (N) Junk			1					10	Potion 6	8	Ammo	1																				0
Act 5 (N) Junk			1					10	Potion 6	8	Ammo	1																				0
Act 1 (H) Junk			1					20	Potion 7	8	Ammo	1																				0
Act 2 (H) Junk			1					20	Potion 7	8	Ammo	1																				0
Act 3 (H) Junk			1					20	Potion 7	8	Ammo	1																				0
Act 4 (H) Junk			1					20	Potion 7	8	Ammo	1																				0
Act 5 (H) Junk			1					20	Potion 7	8	Ammo	1																				0
Class Rings			1						srn	1	brg	1	nrn	1	prn	1	drn	1	zrn	1	arn	1										0
Rings			1						rin	2	Class Rings	1																				0
Class Amulets			1						sam	1	bam	1	nam	1	pam	1	dam	1	zam	1	aam	1										0
Amulets			1						amu	2	Class Amulets	1																				0
Unique Charm 1			1	1024					The Perfect Cell	6	Yello Jello	6	Lothar's Will	6	Deviant Cell	4																0
Unique Charm 2			1	1024					The Perfect Cell	4	Yello Jello	4	Lothar's Will	4	Deviant Cell	4	Vlad Tepe's Sustenance	1	Something Wicked	1	The Unknown Hero	1	Hidden Treasure	2	Killcounter	1						0
Hidden Treasure			1	1024					Hidden Treasure 2	1	Hidden Treasure 3	1	Hidden Treasure 4	1	Hidden Treasure 5	1	Hidden Treasure 6	1	Hidden Treasure 7	1	Hidden Treasure 8	1	Narzath	1								0
DDD6			-6						ddd	1	ddd	1	ddd	1	ddd	1	ddd	1	ddd	1												
DDD5			-5						ddd	1	ddd	1	ddd	1	ddd	1	ddd	1														
DDD4			-4						ddd	1	ddd	1	ddd	1	ddd	1																
DDD3			-3						ddd	1	ddd	1	ddd	1																		
DDD2			-2						ddd	1	ddd	1																				
DDD1			-1						ddd	64	DDD2	16	DDD3	8	DDD4	4	DDD5	2	DDD6	1												
Jewelry A			1						Rings	72	Amulets	48	jew	36	ppp	9	cx1	24	cx2	24	cx3	24	DDD1	18	sdo	1						0
Jewelry B			1						Jewelry A	129	Unique Charm 1	1																				0
Jewelry C			1						Jewelry A	129	Unique Charm 2	1																				0
Chipped Gem			1						gcv	1	gcy	1	gcb	1	gcg	1	gcr	1	gcw	1	skc	1	gck	1								0
Flawed Gem			1						gfv	1	gfy	1	gfb	1	gfg	1	gfr	1	gfw	1	skf	1	gfk	1								0
Normal Gem			1						gsv	1	gsy	1	gsb	1	gsg	1	gsr	1	gsw	1	sku	1	gsk	1								0
Flawless Gem			1						gzv	1	gly	1	glb	1	glg	1	glr	1	glw	1	skl	1	gzk	1								0
Blemished Gem			1						gpv	1	gpy	1	gpb	1	gpg	1	gpr	1	gpw	1	skz	1	gpk	1								0
Perfect Gem			1						gvb	1	gyb	1	gbb	1	ggb	1	grb	1	gwb	1	skb	1	gpk	1								0
Runes 1			1						r01	35	r02	30	r03	25	01l	7	02l	6	03l	5												0
Runes 2			1						r04	35	r05	30	r06	25	04l	7	05l	6	06l	5	Runes 1	150										0
Runes 3			1						r07	35	r08	30	r09	25	07l	6	08l	5	Runes 2	250												0
