index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
The Gnasher	0	1		0	1	7	3	p01	Hand Axe			5	5000								sock		2	2	tinkerflag2		25	35	str		8	8	openwounds		50	50	crush		20	20	dmg%		60	70																									0
Deathspade	0	1		0	1	12	6	p02	Axe			5	5000								sock		2	2	tinkerflag2		25	35	stupidity		1	1	dmg-min		8	8	att%		15	15	mana-kill		4	4	dmg%		60	70																					0
Bladebone	0	1		0	1	20	10	p03	Double Axe			5	5000								sock		2	2	tinkerflag2		25	35	dmg-undead		100	100	att-undead		40	40	swing2		20	20	ac		20	20	fire-min		8	8	fire-max		12	12	dmg%		30	50													0
Mindrend	0	1		0	1	28	14	p04	Military Pick			5	5000								sock		2	2	tinkerflag2		25	35	stupidity		2	2	regen-mana		20	20	ltng-min		1	1	ltng-max		12	15	att		50	100	dmg%		60	100	openwounds		15	15													0
Rakescar	0	1		0	1	36	18	p05	War Axe			5	5000								sock		2	2	tinkerflag2		25	35	pois-min		128	128	pois-max		128	128	pois-len		75	75	att		50	50	res-pois		50	50	dmg%		75	150	swing2		30	30													0
Fechmars Axe	0	1		0	1	11	5	p06	Large Axe			5	5000								sock		2	2	tinkerflag2		25	35	dmg%		70	90	freeze		3	3	res-cold		50	50	light		2	2																									0
Goreshovel	0	1		0	1	19	9	p07	Broad Axe			5	5000								sock		2	2	tinkerflag2		25	35	swing3		30	30	str		25	25	openwounds		60	60	dmg%		40	50	dmg-max		9	9																					0
The Chieftan	0	1		0	1	26	13	p08	Battle Axe			5	5000								sock		2	2	tinkerflag2		25	35	dmg%		100	100	res-all		10	20	mana-kill		6	6	swing2		20	20	dmg-ltng		1	40																					0
Brainhew	0	1		0	1	34	17	p09	Great Axe			5	5000								sock		2	2	tinkerflag2		25	35	dmg-min		14	14	mana		25	25	light		4	4	manasteal		10	13	dmg%		50	80	dmg-fire		15	35																	0
The Humongous	0	1		0	1	39	20	p10	Giant Axe			5	5000								sock		2	2	tinkerflag2		25	35	str		20	30	dmg-min		8	8	dmg-max		15	25	crush		33	33	ease		20	20	dmg%		80	120																	0
Iros Torch	0	1		0	1	7	3	p11	Wand			5	5000								sock		2	2	tinkerflag2		25	35	nec		1	1	lifesteal		6	6	dmg-fire		5	9	light		3	3	enr		10	10	regen-mana		5	5																	0
Maelstromwrath	0	1		0	1	19	9	p12	Yew Wand			5	5000								sock		2	2	tinkerflag2		25	35	ltng-min		1	1	ltng-max		9	9	res-ltng		40	40	mana		13	13	cast2		30	30	skill	Iron Maiden	1	3	skill	Amplify Damage	1	3	skill	Terror	1	3	skill	Corpse Explosion	1	3					0
Gravenspine	0	1		0	1	27	14	p13	Bone Wand			5	5000								sock		2	2	tinkerflag2		25	35	str		10	10	dex		10	10	cold-min		4	4	cold-max		8	8	cold-len		75	75	manasteal		5	5	nec		2	2	mana		25	50									0
Umes Lament	0	1		0	1	38	23	p14	Grim Wand			5	5000								sock		2	2	tinkerflag2		25	35	nec		2	2	mana		40	40	cast2		20	20	howl		64	64	skill	Terror	3	3	skill	Decrepify	2	2																	0
Felloak	0	1		0	1	4	2	p15	Club			5	5000								sock		2	2	tinkerflag2		25	35	res-ltng		60	60	res-fire		20	20	knock		1	1	fire-min		6	6	fire-max		8	8	dmg%		70	80																	0
Knell Striker	0	1		0	1	7	3	p16	Scepter			5	5000								sock		2	2	tinkerflag2		25	35	crush		25	25	res-fire		20	20	res-pois		20	20	mana		15	15	att		35	35	dmg%		70	80																	0
Rusthandle	0	1		0	1	23	11	p17	Grand Scepter			5	5000								sock		2	2	tinkerflag2		25	35	pal		1	1	dmg-norm		3	7	red-mag		1	1	lifesteal		8	8	dmg%		50	60	dmg-undead		50	60	skill	Vengeance	1	3	skill	Thorns	3	3									0
Stormeye	0	1		0	1	31	16	p18	War Scepter			5	5000								sock		2	2	tinkerflag2		25	35	dmg-ltng		1	6	dmg-cold	75	3	5	regen		10	10	dmg%		80	120	skill	Resist Lightning	3	5	skill	Holy Shock	3	3	skill	Fist of the Heavens	1	1													0
Stoutnail	0	1		0	1	7	3	p19	Spiked Club			5	5000								sock		2	2	tinkerflag2		25	35	thorns		3	10	dmg%		100	100	vit		7	7	red-mag		2	2																									0
Crushflange	0	1		0	1	12	6	p20	Mace			5	5000								sock		2	2	tinkerflag2		25	35	str		15	15	knock		1	1	light		2	2	res-fire		50	50	dmg%		50	60	crush		33	33																	0
Bloodrise	0	1		0	1	20	10	p21	Morning Star			5	5000								sock		2	2	tinkerflag2		25	35	dmg%		120	120	att%		50	50	openwounds		25	25	light		2	2	swing1		10	10	skill	Sacrifice	3	3	lifesteal		5	5													0
The Generals Tan Do Li Ga	0	1		0	1	28	14	p22	Flail			5	5000								sock		2	2	tinkerflag2		25	35	dmg-min		1	1	dmg-max		20	20	slow		50	50	ac		25	25	manasteal		5	5	dmg%		50	60	swing2		20	20													0
Ironstone	0	1		0	1	36	18	p23	War Hammer			5	5000								sock		2	2	tinkerflag2		25	35	att		100	150	dmg%		100	150	ltng-min		1	1	ltng-max		10	10	str		10	10	*enr		-5	-5																	0
Bonesob	0	1		0	1	32	16	p24	Maul			5	5000								sock		2	2	tinkerflag2		25	35	dmg%		200	300	crush		40	40	res-fire		30	30	res-cold		30	30	dmg-undead		50	50																					0
Steeldriver	0	1		0	1	39	20	p25	Great Maul			5	5000								sock		2	2	tinkerflag2		25	35	ease		-50	-50	swing3		40	40	regen-stam		25	25	dmg%		150	250																									0
Rixots Keen	0	1		0	1	3	1	p26	Short Sword			5	5000								sock		2	2	tinkerflag2		25	35	dmg-min		5	5	att%		20	20	light		2	2	crush		25	25	ac		25	25	dmg%		100	100																	0
Blood Crescent	0	1		0	1	10	4	p27	Scimitar			5	5000								sock		2	2	tinkerflag2		25	35	res-all		15	15	dmg%		60	80	hp		15	15	light		4	4	openwounds		33	33	swing2		15	15	lifesteal		15	15													0
Krintizs Skewer	0	1		0	1	14	7	p28	Saber			5	5000								sock		2	2	tinkerflag2		25	35	ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		50	50	dmg-norm		3	7																	0
Gleamscythe	0	1		0	1	18	9	p29	Falchion			5	5000								sock		2	2	tinkerflag2		25	35	light		3	3	mana		30	30	ac		20	20	swing2		20	20	dmg%		60	100	dmg-cold	50	3	5																	0
Azurewrath_old	0	1		0	1	18	9	p30	Crystal Sword			5	5000								sock		2	2	tinkerflag2		25	35	deadly		50	50	mag%		10	10	dmg-cold	100	3	6	dmg%		100	100	dur		25	25	dmg-mag		5	10																	0
Griswolds Edge	0	1		0	1	23	11	p31	Broad Sword			5	5000								sock		2	2	tinkerflag2		25	35	fire-min		10	12	fire-max		15	25	att		100	100	swing1		10	10	knock		1	1	dmg%		80	120	str		12	12													0
Hellplague	0	1		0	1	30	15	p32	Long Sword			5	5000								sock		2	2	tinkerflag2		25	35	manasteal		5	5	lifesteal		5	5	pois-min		48	48	pois-max		96	96	pois-len		150	150	dmg%		70	80	dmg-fire		25	75	fireskill		2	2									0
Culwens Point	0	1		0	1	39	20	p33	War Sword			5	5000								sock		2	2	tinkerflag2		25	35	allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		20	20	att		60	60	dmg%		70	80																	0
Shadowfang	0	1		0	1	16	8	p34	Two-Handed Sword			5	5000								sock		2	2	tinkerflag2		25	35	manasteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		100	100	lifesteal		9	9																	0
Soulflay	0	1		0	1	26	13	p35	Claymore			5	5000								sock		2	2	tinkerflag2		25	35	manasteal		4	10	lifesteal		4	4	dmg%		70	100	res-all		5	5	swing2		10	10																					0
