*IconCel	*State	StateId	Type	PalShift	SkillId	HoverString	*eol
0	0	0	0	0	0	0	0
1	freeze	1	1	0	0	0	0
2	poison	2	1	0	0	0	0
3	resistfire	3	0	0	0	0	0
4	resistcold	4	0	0	0	0	0
5	resistlight	5	0	0	0	0	0
6	amplifydamage	9	1	0	0	0	0
7	frozenarmor	10	0	0	0	0	0
8	blaze	13	0	0	0	0	0
9	bonearmor	14	0	0	0	0	0
10	concentrate	15	0	0	0	0	0
11	enchant	16	0	0	0	0	0
12	innersight	17	1	0	0	0	0
13	weaken	19	1	0	0	0	0
14	chillingarmor	20	0	0	0	0	0
15	dimvision	23	1	0	0	0	0
16	shout	26	0	0	0	0	0
17	resistall	8	0	0	0	0	0
18	conviction	28	1	0	0	0	0
19	energyshield	30	0	0	0	0	0
20	venomclaws	31	0	0	0	0	0
21	battleorders	32	0	0	0	0	0
22	might	33	0	0	0	0	0
23	prayer	34	0	0	0	0	0
24	holyfire	35	0	0	0	0	0
25	thorns	36	0	0	0	0	0
26	defiance	37	0	0	0	0	0
27	sthunderstorm	215	0	0	0	0	0
28	stamina	41	0	0	0	0	0
29	blessedaim	40	0	0	0	0	0
30	concentration	42	0	0	0	0	0
31	holywind	43	0	0	0	0	0
32	cleansing	45	0	0	0	0	0
33	holyshock	46	0	0	0	0	0
34	sanctuary	47	0	0	0	0	0
35	meditation	48	0	0	0	0	0
36	fanaticism	49	0	0	0	0	0
37	battlecommand	51	0	0	0	0	0
38	ironmaiden	55	1	0	0	0	0
39	terror	56	0	0	0	0	0
40	attract	57	1	0	0	0	0
41	lifetap	58	1	0	0	0	0
42	confuse	59	1	0	0	0	0
43	decrepify	60	1	0	0	0	0
44	lowerresist	61	1	0	0	0	0
45	doppelzon	63	0	0	0	0	0
46	slowmissiles	87	1	0	0	0	0
47	shiverarmor	88	0	0	0	0	0
48	frenzy	94	0	0	0	0	0
49	berserk	95	1	0	0	0	0
50	holyshield	101	0	0	0	0	0
51	defense_curse	113	1	0	0	0	0
52	blood_mana	114	1	0	0	0	0
53	maul	117	0	0	0	0	0
54	feralrage	120	0	0	0	0	0
55	shrine_armor	128	0	0	0	0	0
56	shrine_combat	129	0	0	0	0	0
57	shrine_resist_lightning	130	0	0	0	0	0
58	shrine_resist_fire	131	0	0	0	0	0
59	shrine_resist_cold	132	0	0	0	0	0
60	shrine_resist_poison	133	0	0	0	0	0
61	shrine_skill	134	0	0	0	0	0
62	shrine_mana_regen	135	0	0	0	0	0
63	shrine_stamina	136	0	0	0	0	0
64	shrine_experience	137	0	0	0	0	0
65	wolf	139	0	0	0	0	0
66	bear	140	0	0	0	0	0
67	hurricane	144	0	0	0	0	0
68	armageddon	145	0	0	0	0	0
69	barbs	147	0	0	0	0	0
70	wolverine	148	0	0	0	0	0
71	oaksage	149	0	0	0	0	0
72	cyclonearmor	151	0	0	0	0	0
73	cloak_of_shadows	153	0	0	0	0	0
74	quickness	157	0	0	0	0	0
75	bladeshield	158	0	0	0	0	0
76	fade	159	0	0	0	0	0
77	delerium	177	1	0	0	0	0
78	paralyze	200	1	0	0	0	0
79	eagleeye	201	0	0	0	0	0
80	aerialshield	204	0	0	0	0	0
81	timestop	205	1	0	0	0	0
82	divineaura	207	0	0	0	0	0
83	elemcry	209	1	0	0	0	0
84	shadearmor	214	0	0	0	0	0
85	holyfirew	230	0	0	0	0	0
86	holyfireh	231	0	0	0	0	0
87	holyfiret	232	0	0	0	0	0
88	holyfires	233	0	0	0	0	0
89	holywindw	234	0	0	0	0	0
90	holywindh	235	0	0	0	0	0
91	holywindt	236	0	0	0	0	0
92	holywinds	237	0	0	0	0	0
93	holyshockw	238	0	0	0	0	0
94	holyshockh	239	0	0	0	0	0
95	holyshockt	240	0	0	0	0	0
96	holyshocks	241	0	0	0	0	0
97	stoned	250	1	0	0	0	0
98	thunderstorm	38	0	0	0	0	0
99	behemothed	190	0	0	0	0	0
100	coldembr	187	0	0	0	0	0
