name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Cap/hat	0	0	1	1	6	12	0	0	15	0	12	0	1	0	64	3016	cap	cap		320	cap	cap	cap	xap	yap	0	0	2	2	1	2	1	flpcap	invcap	invcapu	invcap							0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xap	yap	0	0	1
Skull Cap	0	0	4	1	12	18	0	0	15	0	18	0	5	0	441	5551	skp	skp		320	skp	skp	skp	xkp	ykp	0	0	2	2	1	2	1	flpskp	invskp									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xkp	ykp	0	0	1
Helm	0	0	4	1	18	27	0	0	26	0	24	0	11	0	1558	11142	hlm	hlm		320	hlm	hlm	hlm	xlm	ylm	0	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invcap							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255	1	3	1	3	20					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			1	1	0	xlm	ylm	0	0	1
Full Helm	0	0	4	1	30	42	0	0	41	0	30	0	15	0	3095	15803	fhl	fhl		320	fhl	hlm	fhl	xhl	yhl	0	0	2	2	1	2	1	flpfhl	invfhl	invfhlu	inveht							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255			2	1	0	xhl	yhl	0	0	1
Great Helm	0	0	4	1	48	69	0	5	50	0	40	0	23	0	4118	19839	ghm	ghm		320	ghm	hlm	ghm	xhm	yhm	0	0	2	2	1	3	1	flpghm	invghm		invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255			2	3	255					255					255					255					255					255					255					255					255					255					255			2	1	0	xhm	yhm	0	0	1
Crown	0	0	4	1	54	78	0	5	55	0	50	0	27	0	8345	43751	crn	crn		320	crn	hlm	crn	xrn	yrn	0	0	2	2	1	3	1	flpcrn	invcrn									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255					255			1	8	0	xrn	yrn	0	0	1
Mask	0	0	4	1	36	51	0	0	23	0	20	0	19	0	2857	17785	msk	msk		320	msk	hlm	msk	xsk	ysk	0	0	2	2	1	3	1	flpmsk	invmsk		invbhm							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255			5	1	0	xsk	ysk	0	0	1
Quilted Armor	0	0	1	1	18	22	0	0	15	0	20	0	1	0	140	3035	qui	qui		320	qlt	qlt	qui	xui	yui	0	1	2	3	1	4	2	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xui	yui	0	0	1
Leather Armor	0	0	2	1	23	29	0	0	15	0	24	0	3	0	481	4360	lea	lea		320	lea	lea	lea	xea	yea	0	1	2	3	1	4	2	flplea	invlea			0	0	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xea	yea	0	0	1
Hard Leather Armor	0	0	3	1	30	38	0	0	20	0	28	0	5	0	1060	6325	hla	hla		320	hla	hla	hla	xla	yla	0	1	2	3	1	4	2	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xla	yla	0	0	1
