Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
Fletcher's	0	1	1	1	50	15			3	300	tinkerflag2		25	35	skilltab	0	1	1							armo	weap									0	0	0
Bowyer's	0	1	1	40	75	30			2	300	tinkerflag2		25	35	skilltab	0	2	2							armo	weap									0	0	0
Archer's	0	1	1	60		45			1	300	tinkerflag2		25	35	skilltab	0	3	3							armo	weap									0	0	0
Acrobat's	0	1	1	1	50	15			3	301	tinkerflag2		25	35	skilltab	1	1	1							armo	weap									0	0	0
Gymnast's	0	1	1	40	75	30			2	301	tinkerflag2		25	35	skilltab	1	2	2							armo	weap									0	0	0
Athlete's	0	1	1	60		45			1	301	tinkerflag2		25	35	skilltab	1	3	3							armo	weap									0	0	0
Harpoonist's	0	1	1	1	50	15			3	302	tinkerflag2		25	35	skilltab	2	1	1	hit-splash	WeaponSplash	100	1			armo	weap									0	0	0
Spearmaiden's	0	1	1	40	75	30			2	302	tinkerflag2		25	35	skilltab	2	2	2	hit-splash	WeaponSplash	100	1			armo	weap									0	0	0
Lancer's	0	1	1	60		45			1	302	tinkerflag2		25	35	skilltab	2	3	3	hit-splash	WeaponSplash	100	1			armo	weap									0	0	0
of the Jackal	0	1	1	1	20	3			6	303	tinkerflag2		25	35	hp		1	5							armo	weap									0	0	0
of the Fox	0	1	1	11	40	8			5	303	tinkerflag2		25	35	hp		6	10							armo	weap									0	0	0
of the Wolf	0	1	1	27	60	20			4	303	tinkerflag2		25	35	hp		11	20							armo	weap									0	0	0
of the Tiger	0	1	1	43		35			3	303	tinkerflag2		25	35	hp		21	30							armo	weap									0	0	0
of the Mammoth	0	1	1	59		51			2	303	tinkerflag2		25	35	hp		31	40							armo	weap									0	0	0
of the Colossus	0	1		75		67			1	303	tinkerflag2		25	35	hp		41	60							armo	weap									0	0	0
Lizard's	0	1	1	3	15	2			4	303	tinkerflag2		25	35	mana		1	5							armo	weap									0	0	0
Snake's	0	1	1	12	30	9			3	303	tinkerflag2		25	35	mana		5	10							armo	weap									0	0	0
Serpent's	0	1	1	23	45	16			2	303	tinkerflag2		25	35	mana		11	20							armo	weap									0	0	0
