Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	100	100	100	100	100	100	100	10
0	0	0	0	0	0	0	0	1024
1	1	1	1	1	1	1	1	1024
2	2	2	2	2	2	2	2	1024
3	3	3	3	3	3	3	3	1024
4	4	4	4	4	4	4	4	1024
5	5	5	5	5	5	5	5	1024
6	6	6	6	6	6	6	6	1024
7	7	7	7	7	7	7	7	1024
8	8	8	8	8	8	8	8	1024
9	9	9	9	9	9	9	9	1024
10	10	10	10	10	10	10	10	1024
11	11	11	11	11	11	11	11	1024
12	12	12	12	12	12	12	12	1024
13	13	13	13	13	13	13	13	1024
14	14	14	14	14	14	14	14	1024
15	15	15	15	15	15	15	15	1024
16	16	16	16	16	16	16	16	1024
17	17	17	17	17	17	17	17	1024
18	18	18	18	18	18	18	18	1024
19	19	19	19	19	19	19	19	1024
20	20	20	20	20	20	20	20	1024
21	21	21	21	21	21	21	21	1024
22	22	22	22	22	22	22	22	1024
23	23	23	23	23	23	23	23	1024
24	24	24	24	24	24	24	24	1024
25	25	25	25	25	25	25	25	1024
26	26	26	26	26	26	26	26	1024
27	27	27	27	27	27	27	27	1024
28	28	28	28	28	28	28	28	1024
29	29	29	29	29	29	29	29	1024
30	30	30	30	30	30	30	30	1024
31	31	31	31	31	31	31	31	1024
32	32	32	32	32	32	32	32	1024
33	33	33	33	33	33	33	33	1024
34	34	34	34	34	34	34	34	1024
35	35	35	35	35	35	35	35	1024
36	36	36	36	36	36	36	36	1024
37	37	37	37	37	37	37	37	1024
38	38	38	38	38	38	38	38	1024
39	39	39	39	39	39	39	39	1024
40	40	40	40	40	40	40	40	1024
41	41	41	41	41	41	41	41	1024
42	42	42	42	42	42	42	42	1024
43	43	43	43	43	43	43	43	1024
44	44	44	44	44	44	44	44	1024
45	45	45	45	45	45	45	45	1024
46	46	46	46	46	46	46	46	1024
47	47	47	47	47	47	47	47	1024
48	48	48	48	48	48	48	48	1024
49	49	49	49	49	49	49	49	1024
50	50	50	50	50	50	50	50	1024
51	51	51	51	51	51	51	51	1024
52	52	52	52	52	52	52	52	1024
53	53	53	53	53	53	53	53	1024
54	54	54	54	54	54	54	54	1024
55	55	55	55	55	55	55	55	1024
56	56	56	56	56	56	56	56	1024
57	57	57	57	57	57	57	57	1024
58	58	58	58	58	58	58	58	1024
59	59	59	59	59	59	59	59	1024
60	60	60	60	60	60	60	60	1024
61	61	61	61	61	61	61	61	1024
62	62	62	62	62	62	62	62	1024
63	63	63	63	63	63	63	63	1024
64	64	64	64	64	64	64	64	1024
65	65	65	65	65	65	65	65	1024
66	66	66	66	66	66	66	66	1024
67	67	67	67	67	67	67	67	1024
68	68	68	68	68	68	68	68	1024
69	69	69	69	69	69	69	69	1024
70	70	70	70	70	70	70	70	976
71	71	71	71	71	71	71	71	928
72	72	72	72	72	72	72	72	880
73	73	73	73	73	73	73	73	832
74	74	74	74	74	74	74	74	784
75	75	75	75	75	75	75	75	736
76	76	76	76	76	76	76	76	688
77	77	77	77	77	77	77	77	640
78	78	78	78	78	78	78	78	592
79	79	79	79	79	79	79	79	544
80	80	80	80	80	80	80	80	496
81	81	81	81	81	81	81	81	448
82	82	82	82	82	82	82	82	400
83	83	83	83	83	83	83	83	352
84	84	84	84	84	84	84	84	304
85	85	85	85	85	85	85	85	256
86	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	192
87	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	144
88	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	108
89	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	81
90	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	64
91	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	48
92	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	37
93	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	27
94	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	21
95	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	15
96	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	11
97	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	8
98	3496452900	3496452900	3496452900	3496452900	3496452900	3496452900	3496452900	7
99	3667095958	3667095958	3667095958	3667095958	3667095958	3667095958	3667095958	6
100	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	5
