Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Null	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0							0	0																																																																																										0	0	255				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Town	1	0	0			0	56	40	56	40	56	40	-1	-1	0	1	1	0	0	0	1	1	0	0	2	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	50	81	255	81	1	1	0	0	2025							0	0	0							0	0																																																																														chicken				30								0	1	0	Rogue Encampment	To The Rogue Encampment	A1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Wilderness 1	2	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	0	4	5	0	0	0	8	8	8	8	0	-1	-1	-1	0	1	2	3	-1	50	81	255	81	0	0	1	0	2025	1	26	51	2	38	68	520	520	520	2	3	4	5	6	7	1	0	6	zombie1	fallen1	quillrat1	skeleton1	zombie2	corruptrogue1	brute1	cr_lancer1																			zombie1	fallen1	quillrat1	skeleton1	zombie2	corruptrogue1	brute1	cr_lancer1																		zombie1	fallen1	quillrat1	skeleton1	zombie2	corruptrogue1	brute1	cr_lancer1																														0	2	255	Blood Moor	To The Blood Moor	A1L2	4	38	33	34	0	0	0	0	3	17	17	17	0	0	0	0	1
Act 1 - Wilderness 2	3	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	1	4	5	0	0	0	9	9	9	9	0	-1	-1	-1	0	1	2	3	-1	50	81	255	81	1	0	1	0	2025	2	27	52	3	38	69	520	520	520	2	3	4	5	6	7	1	0	6	brute1	corruptrogue1	fallenshaman1	cr_lancer1	sk_archer1	brute2	bighead3	cr_archer1	foulcrow1	quillrat2	cr_lancer2																brute1	corruptrogue1	fallenshaman1	cr_lancer1	sk_archer1	brute2	bighead3	cr_archer1	foulcrow1	quillrat2	cr_lancer2															brute1	corruptrogue1	fallenshaman1	cr_lancer1	sk_archer1	brute2	bighead3	cr_archer1	foulcrow1	quillrat2	cr_lancer2																											0	2	1	Cold Plains	To The Cold Plains	A1L3	4	38	33	34	0	0	0	0	3	22	22	22	0	0	0	0	1
Act 1 - Wilderness 3	4	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	50	81	255	81	0	0	1	0	2025	4	29	54	5	39	70	520	520	520	2	4	4	6	6	8	1	0	6	skeleton2	wraith1	skeleton3	fallen2	crownest1	goatman1	goatlord1	cr_archer3	cr_archer2	quillbear1	corruptrogue2																skeleton2	wraith1	skeleton3	fallen2	crownest1	goatman1	goatlord1	cr_archer3	cr_archer2	quillbear1	corruptrogue2															skeleton2	wraith1	skeleton3	fallen2	crownest1	goatman1	goatlord1	cr_archer3	cr_archer2	quillbear1	corruptrogue2																											0	2	2	Stony Field	To The Stony Field	A1L4	1	38	33	34	0	0	0	0	4	27	27	27	0	0	0	0	1
Act 1 - Wilderness 4	5	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	3	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	60	81	255	81	1	0	1	0	2025	5	30	55	6	40	71	520	520	520	2	4	4	6	6	8	1	0	6	fallen3	corruptrogue3	quillrat3	cr_lancer3	sk_archer2	brute3	fallenshaman2	fetishblow1	cr_lancer4	cr_archer4																	fallen3	corruptrogue3	quillrat3	cr_lancer3	sk_archer2	brute3	fallenshaman2	fetishblow1	cr_lancer4	cr_archer4																fallen3	corruptrogue3	quillrat3	cr_lancer3	sk_archer2	brute3	fallenshaman2	fetishblow1	cr_lancer4	cr_archer4																												0	2	3	Dark Wood	To The Dark Wood	A1L5	1	38	33	34	0	0	0	0	4	30	30	30	0	0	0	0	1
Act 1 - Wilderness 5	6	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	4	4	5	0	0	20	11	11	11	11	0	-1	-1	10	0	1	2	3	-1	60	81	255	81	0	0	1	0	2025	6	31	56	7	40	72	520	520	520	2	4	4	6	6	8	1	0	6	crownest2	wraith2	arach1	goatman2	goatlord2	fallenshaman3	cr_archer4	skmage_fire1	skmage_ltng1	skmage_cold1	skmage_pois1																crownest2	wraith2	arach1	goatman2	goatlord2	fallenshaman3	cr_archer4	skmage_fire1	skmage_ltng1	skmage_cold1	skmage_pois1															crownest2	wraith2	arach1	goatman2	goatlord2	fallenshaman3	cr_archer4	skmage_fire1	skmage_ltng1	skmage_cold1	skmage_pois1																											0	2	4	Black Marsh	To The Black Marsh	A1L6	1	38	33	34	0	0	0	0	5	32	32	32	0	0	0	0	1
Act 1 - Wilderness 6	7	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	12	12	12	12	0	-1	-1	-1	0	1	2	3	-1	60	81	255	81	1	0	1	0	2025	8	33	58	9	41	72	520	520	520	2	4	4	6	6	8	1	0	6	corruptrogue3	quillrat4	cr_lancer4	sk_archer3	zombie3	fallen4	skmage_fire2	skmage_ltng2	skmage_cold2	skmage_pois2	quillbear2																corruptrogue3	quillrat4	cr_lancer4	sk_archer3	zombie3	fallen4	skmage_fire2	skmage_ltng2	skmage_cold2	skmage_pois2	quillbear2															corruptrogue3	quillrat4	cr_lancer4	sk_archer3	zombie3	fallen4	skmage_fire2	skmage_ltng2	skmage_cold2	skmage_pois2	quillbear2																											0	2	255	Tamoe Highland	To The Tamoe Highland	A1L7	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0	1
Act 1 - Cave 1	8	0	0			1	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	2	0	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	1	2025	1	26	51	2	38	70	600	600	600	2	3	4	5	6	7	0	0	6	skeleton1	zombie2	fallen1	bighead3	corruptrogue1	zombie1	fallenshaman1	brute1	foulcrow1																		skeleton1	zombie2	fallen1	bighead3	corruptrogue1	zombie1	fallenshaman1	brute1	foulcrow1																	skeleton1	zombie2	fallen1	bighead3	corruptrogue1	zombie1	fallenshaman1	brute1	foulcrow1																	rat	bat			30	30							0	4	255	Den of Evil	To The Den of Evil	A1L9	6	4	0	0	0	0	0	0	35	45	0	0	0	0	0	0	1
Act 1 - Cave 2	9	0	0			2	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	3	0	0	0	13	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	52	3	38	71	600	600	600	2	3	4	5	6	7	1	0	6	skeleton2	wraith1	skeleton3	fallenshaman2	cr_archer2	foulcrow2	cr_archer1	quillbear1	corruptrogue1	zombie2																	skeleton2	wraith1	skeleton3	fallenshaman2	cr_archer2	foulcrow2	cr_archer1	quillbear1	corruptrogue1	zombie2																skeleton2	wraith1	skeleton3	fallenshaman2	cr_archer2	foulcrow2	cr_archer1	quillbear1	corruptrogue1	zombie2																rat	bat			30	30							0	4	255	Cave Level 1	To The Cave Level 1	A1L9	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 3	10	0	0			3	200	200	200	200	200	200	1500	1600	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	5	39	72	600	600	600	2	3	4	5	6	7	1	0	6	quillbear1	wraith1	skeleton3	corruptrogue2	bonefetish1	cr_archer2	sk_archer2	fallenshaman3	bighead4	rhino1																	quillbear1	wraith1	skeleton3	corruptrogue2	bonefetish1	cr_archer2	sk_archer2	fallenshaman3	bighead4	rhino1																quillbear1	wraith1	skeleton3	corruptrogue2	bonefetish1	cr_archer2	sk_archer2	fallenshaman3	bighead4	rhino1																rat	bat			30	30							0	4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 4	11	0	0			4	200	200	200	200	200	200	1500	1900	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	5	30	55	6	40	83	600	600	600	2	3	4	5	6	7	1	0	6	wraith2	skmage_pois1	fallenshaman3	bighead4	cr_archer3	arach1	quillrat4	clawviper1	brute3																		wraith2	skmage_pois1	fallenshaman3	bighead4	cr_archer3	arach1	quillrat4	clawviper1	brute3																	wraith2	skmage_pois1	fallenshaman3	bighead4	cr_archer3	arach1	quillrat4	clawviper1	brute3																	rat	bat			30	30							0	4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 5	12	0	0			5	200	200	200	200	200	200	1500	2200	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	1000	7	32	57	44	68	86	1400	1400	1400	8	9	10	11	12	13	1	0	4	ravenshaman	ravenimp	darkcrusher	cr_archer8																							ravenshaman	ravenimp	darkcrusher	cr_archer8																						ravenshaman	ravenimp	darkcrusher	cr_archer8																						rat	bat			30	30							0	4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0	1
Act 1 - Cave 2 Treasure	13	0	0			6	24	24	24	24	24	24	1500	2500	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	52	3	39	75	600	600	600	2	3	4	5	6	7	1	0	6	skeleton2	wraith1	fallen2	fallenshaman2	corruptrogue4	corruptrogue2	cr_archer2	brute2	cr_lancer3	zombie2																	skeleton2	wraith1	fallen2	fallenshaman2	corruptrogue4	corruptrogue2	cr_archer2	brute2	cr_lancer3	zombie2																skeleton2	wraith1	fallen2	fallenshaman2	corruptrogue4	corruptrogue2	cr_archer2	brute2	cr_lancer3	zombie2																rat	bat			30	30							0	4	255	Cave Level 2	To The Cave Level 2	A1L14	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 3 Treasure	14	0	0			7	24	24	24	24	24	24	1500	2624	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	5	40	76	600	600	600	2	3	4	5	6	7	1	0	6	quillrat4	brute2	fallenshaman3	bighead4	arach1	skmage_fire1	skmage_ltng1	skmage_pois1	bonefetish1	fallen2	corruptrogue2																quillrat4	brute2	fallenshaman3	bighead4	arach1	skmage_fire1	skmage_ltng1	skmage_pois1	bonefetish1	fallen2	corruptrogue2															quillrat4	brute2	fallenshaman3	bighead4	arach1	skmage_fire1	skmage_ltng1	skmage_pois1	bonefetish1	fallen2	corruptrogue2															rat	bat			30	30							0	4	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 4 Treasure	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	3800	5	30	55	6	41	84	880	880	880	3	4	5	6	7	8	1	0	6	zombie3	fallenshaman4	skeleton4	bighead4	sk_archer2	mummy1	fetishblow1	sk_archer3	fallen3	brute3	cr_archer3																zombie3	fallenshaman4	skeleton4	bighead4	sk_archer2	mummy1	fetishblow1	sk_archer3	fallen3	brute3	cr_archer3															zombie3	fallenshaman4	skeleton4	bighead4	sk_archer2	mummy1	fetishblow1	sk_archer3	fallen3	brute3	cr_archer3															rat	bat			30	30							0	4	255	Hole Level 2	To The Hole Level 2	A1L16	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 5 Treasure	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	7	32	57	44	68	86	880	880	880	9	9	9	9	9	9	1	0	6	braven_clone	ravenshaman																									braven_clone	ravenshaman																								braven_clone	ravenshaman																								rat	bat			30	30							0	4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0	1
Act 1 - Graveyard	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1	50	0	255	0	0	0	1	0	2025	3	28	53	4	38	79	520	520	520	3	4	5	6	7	8	1	0	6	skeleton2	wraith1	skeleton3	cr_archer2	cr_archer3	corruptrogue3	cr_lancer2	cr_archer3	cr_lancer3	corruptrogue2																	skeleton2	wraith1	skeleton3	cr_archer2	cr_archer3	corruptrogue3	cr_lancer2	cr_archer3	cr_lancer3	corruptrogue2																skeleton2	wraith1	skeleton3	cr_archer2	cr_archer3	corruptrogue3	cr_lancer2	cr_archer3	cr_lancer3	corruptrogue2																												0	2	255	Burial Grounds	To The Burial Grounds	A1L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 1 A	18	0	0			10	200	200	200	200	200	200	2000	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	120	81	255	81	0	0	1	0	2025	3	28	53	4	39	86	1056	1056	1056	2	4	4	6	6	8	1	0	6	sk_archer2	wraith1	skeleton3	cr_archer2	cr_archer3	cr_lancer4	corruptrogue2	corruptrogue3	cr_lancer3																		sk_archer2	wraith1	skeleton3	cr_archer2	cr_archer3	cr_lancer4	corruptrogue2	corruptrogue3	cr_lancer3																	sk_archer2	wraith1	skeleton3	cr_archer2	cr_archer3	cr_lancer4	corruptrogue2	corruptrogue3	cr_lancer3																	rat	bat			30	30							8	5	255	Crypt	To The Crypt	A1L19	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Crypt 2 A	19	0	0			11	200	200	200	200	200	200	2000	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	120	81	255	81	0	0	1	0	2025	3	28	53	4	39	88	1056	1056	1056	2	4	4	6	6	8	1	0	6	skeleton2	wraith1	skeleton3	cr_archer2	corruptrogue4	corruptrogue3	corruptrogue2	cr_archer3	cr_lancer3																		skeleton2	wraith1	skeleton3	cr_archer2	corruptrogue4	corruptrogue3	corruptrogue2	cr_archer3	cr_lancer3																	skeleton2	wraith1	skeleton3	cr_archer2	corruptrogue4	corruptrogue3	corruptrogue2	cr_archer3	cr_lancer3																	rat	bat			30	30							8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Tower 2	20	0	0			12	8	8	8	8	8	8	2000	1600	0	1	0	0	0	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	11	12	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	100	7	32	57				0	0	0							1	0																																																																														rat	bat			30	30							0	5	255	Forgotten Tower	To The Forgotten Tower	A1L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 A	21	0	0			13	200	200	200	200	200	200	2500	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	120	81	255	81	0	0	1	0	100	7	32	57	8	40	78	1024	1024	1024	2	4	4	6	6	8	1	0	6	wraith2	fallen4	fallenshaman3	bighead1	cr_archer4	arach1	clawviper1	goatman3	goatlord3																		wraith2	fallen4	fallenshaman3	bighead1	cr_archer4	arach1	clawviper1	goatman3	goatlord3																	wraith2	fallen4	fallenshaman3	bighead1	cr_archer4	arach1	clawviper1	goatman3	goatlord3																	rat	bat			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 B	22	0	0			14	200	200	200	200	200	200	2500	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	120	81	255	81	0	0	1	0	2025	7	32	57	8	41	79	1024	1024	1024	2	4	4	6	6	8	1	0	6	zombie3	fallenshaman4	vampire5	bighead1	fetish1	mummy1	fallen4	goatman3	goatlord3																		zombie3	fallenshaman4	vampire5	bighead1	fetish1	mummy1	fallen4	goatman3	goatlord3																	zombie3	fallenshaman4	vampire5	bighead1	fetish1	mummy1	fallen4	goatman3	goatlord3																	rat	bat			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	A1L23	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 C	23	0	0			15	200	200	200	200	200	200	2500	1600	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	24	25	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	120	81	255	81	0	0	1	0	100	7	32	57	8	42	80	1024	1024	1024	2	4	4	6	6	8	1	0	6	skeleton5	vulture1	skeleton4	sandleaper2	sk_archer4	quillbear3	sandleaper1	goatman3	goatlord3																		skeleton5	vulture1	skeleton4	sandleaper2	sk_archer4	quillbear3	sandleaper1	goatman3	goatlord3																	skeleton5	vulture1	skeleton4	sandleaper2	sk_archer4	quillbear3	sandleaper1	goatman3	goatlord3																	rat	bat			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	A1L25	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
