name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Hand Axe	axe		hax	hax	hax	0		3	1	1	9								2		100				60		3	0	170	4510		320	hax	hax	9ha	0ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	9ha	0ha	1	0
Axe	axe		axe	axe	axe	0		4	1	4	11								2	5	100		32		60		7	0	403	8821		320	axe	axe	9ax	0ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			5	1	0	9ax	0ax	1	0
Double Axe	axe		2ax	axe	2ax	0		4	1	5	13								2	10	100		43		60		13	0	873	15175		320	axe	2ax	92a	82a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	92a	82a	1	0
Military Pick	axe		mpi	axe	mpi	0		4	1	9	14								2	-10	100		49	33	60		19	0	1421	24500		320	axe	mpi	9mp	0mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	9mp	0mp	1	0
War Axe	axe		wax	hax	wax	0		4	1	10	18								3		100		67		60		27	0	2123	39038		320	hax	wax	9wa	0wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255			1	1	20					255			2	3	20					255					255			1	1	0	9wa	0wa	1	0
Large Axe	axe	2hsw	lax	btx	lax	0		4	1				1	6	13				3	-15	110		35		60		6	0	354	7624		320	lax	lax	9la	0la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9la	0la	1	0
Broad Axe	axe	2hsw	bax	btx	bax	0		4	1				1	10	18				3		110		48		60		12	0	806	14086		320	lax	bax	9ba	0ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9ba	0ba	1	0
Battle Axe	axe	2hsw	btx	lax	btx	0		4	1				1	12	32				3	10	110		54		60		17	0	1262	21227		320	lax	btx	9bt	0bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxs	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255	1	2	1	2	20					255					20					255					255					255					255					255					255					255					255					255					255			5	1	0	9bt	0bt	1	0
Great Axe	axe	2hsw	gax	lax	gax	0		4	1				1	9	30				4	-10	110		63	39	65		25	0	1916	34034		320	lax	gax	9ga	0ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	1	0	9ga	0ga	1	0
Giant Axe	axe	2hsw	gix	gix	gix	0		4	1				1	22	45				4	10	110		70		65		29	0	2410	45535		320	lax	gix	9gi	0gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	1	20					255					255					255					255					255			1	1	20					255			2	3	20					255					255			1	1	0	9gi	0gi	1	0
Wand	wand		wnd	wnd	wnd	0		1	1	1	9										100				60		3	0	205	3910	1	900	wnd	wnd	9wn	0wn	1hs	1hs	5	1hss	1	3					flpwnd	inv9wn	inv9wnu	inv9wnu	1	2	1	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	7					255					255	3	4	3	4	1					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255					255			5	8	0	9wn	0wn	1	0
Yew Wand	wand		ywn	ywn	ywn	0		1	1	1	9									10	100				60		12	0	745	13720	1	900	wnd	ywn	9yw	0yw	1hs	1hs	5	1hss	1	3					flpywn	inv9yw			1	2	1	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	7					255					255	3	4	3	4	1					255					255	4	6	6	8	20					255					255			3	5	20					255					255					255					255					255					255					255					255			5	8	0	9yw	0yw	1	0
Bone Wand	wand		bwn	bwn	bwn	0		1	1	1	9									-20	100				60		18	0	1296	22414	1	900	wnd	bwn	9bw	0bw	1hs	1hs	5	1hss	1	3					flpbwn	inv9bw	inv9bwu	inv9bwu	1	2	1	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255	2	5	2	5	20					255					255			4	6	20					255					255					255					255	2	3	2	3	1					255					255					255			5	8	0	9bw	0bw	1	0
Grim Wand	wand		gwn	bwn	gwn	0		1	1	5	11									-10	100				60		26	0	2098	40024	1	900	wnd	gwn	9gw	0gw	1hs	1hs	5	1hss	1	3					flpgwn	inv9gw			1	2	1	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255			2	4	20					255					255					255					255	2	3	2	3	1					255					255			4	7	20			5	8	0	9gw	0gw	1	0
Club	club		clb	clb	clb	0		1	1	1	9								2	-10	100				60		1	0	32	3032		320	clb	clb	9cl	0cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	9cl	0cl	1	0
Scepter	scep		scp	mac	scp	0		2	1	6	11								2		100		25		65		4	0	350	5050		320	mac	scp	9sc	5sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255	4	5	4	5	1					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255			5	8	0	9sc	5sc	1	0
Grand Scepter	scep		gsc	mac	gsc	0		4	1	8	18								2	10	100		37		75		15	0	1109	18318		320	mac	gsc	9qs	0qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255	3	4	3	4	20					255			3	4	20					255					255					255					255					255					255					255					255					255			5	1	0	9qs	0qs	1	0
War Scepter	scep		wsp	whm	wsp	0		4	1	10	17								2	-10	100		55		85		21	0	2323	35892		320	mac	wsp	9ws	0ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	6	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255			3	4	20					255					255					255					255					255					255					255					255					255			5	1	0	9ws	0ws	1	0
Spiked Club	club		spc	clb	spc	0		3	1	4	9								2	-5	100				60		4	0	225	5400		320	clb	spc	9sp	0sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	9sp	0sp	1	0
Mace	mace		mac	mac	mac	0		4	1	3	10								2		100		27		75		8	0	463	10102		320	mac	mac	9ma	0ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			1	1	0	9ma	0ma	1	0
Morning Star	mace		mst	mac	mst	0		4	1	7	16								2	10	100		36		87		13	0	844	14986		320	mac	mst	9mt	0mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9mt	0mt	1	0
Flail	mace		fla	fla	fla	0		4	1	1	21								3	-10	100		41	35	60		19	0	1412	24414		320	mac	fla	9fl	0fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9fl	0fl	1	0
War Hammer	hamm		whm	whm	whm	0		4	1	19	29								2	20	110		53		70		28	0	2081	38513		320	mac	whm	9wh	0wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	8	0	9wh	0wh	1	0
Maul	hamm	2hsw	mau	mau	mau	0		4	1				1	30	43				4	10	120		69		75		23	0	1670	29035		320	mau	mau	9m9	0m0	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255			5	8	0	9m9	0m0	1	0
Great Maul	hamm	2hsw	gma	mau	gma	0		3	1				1	38	58				4	20	120		99		75		32	0	3215	65690		320	mau	gma	9gm	0gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	2	20					255					255					255					255			5	5	0	9gm	0gm	1	0
Short Sword	swor		ssd	ssd	ssd	0		3	1	1	9								2		100				60		1	0	72	3072		320	ssd	ssd	9ss	0ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9ss	0ss	1	0
Scimitar	swor		scm	scm	scm	0		3	1	1	9								2	-20	100			21	60		5	0	274	6370		320	scm	scm	9sm	0sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9sm	0sm	1	0
Saber	swor		sbr	scm	sbr	0		3	1	2	9								2	-10	100		25	25	60		8	0	466	10114		320	scm	sbr	9sb	0sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			1	1	0	9sb	0sb	1	0
Falchion	swor		flc	flc	flc	0		4	1	9	17								2	20	100		33		60		11	0	683	12757		320	scm	flc	9fc	0fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255			1	1	0	9fc	0fc	1	0
Crystal Sword	swor		crs	crs	crs	0		2	1	5	15								2		100		43		60		12	0	2127	20699		320	ssd	crs	9cr	0cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	3					255					255					255	1	2	1	2	255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	9cr	0cr	1	0
Broad Sword	swor		bsd	bsd	bsd	0		4	1	7	14								2		100		48		60		17	0	1029	17718		320	ssd	bsd	9bs	0bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	2	1	2	20					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	1	0	9bs	0bs	1	0
Long Sword	swor		lsd	lsd	lsd	0		4	1	4	19								2	-10	100		55	39	60		23	0	1520	26450		320	ssd	lsd	9ls	0ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	2	1	2	20					255					255			1	2	20					255					255					255					255					255			1	2	20					255					255					255					255			1	1	0	9ls	0ls	1	0
War Sword	swor		wsd	flc	wsd	0		4	1	8	20								2		100		71	45	60		27	0	1997	39960		320	ssd	wsd	9wd	0wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255			1	2	20					255					255					255					255			1	1	0	9wd	0wd	1	0
Two-Handed Sword	swor	2hsw	2hs	clm	2hs	0		4	1	2	9	1	1	8	17				3		100		35	27	60		10	0	644	11970		320	clm	2hs	92h	02h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	92h	02h	1	0
