id	Name	Rare	Lvl	Req Lvl	Rarity	Stats	Item Type
1	Sturdy	1	1 - 19	1	28	ac% (10 - 20)  	armo
2	Sturdy	1	4 - 25	3	28	ac% (21 - 30)  	armo
3	Strong	1	9 - 31	6	28	ac% (31 - 40)  	armo
4	Glorious	1	19 - 36	14	28	ac% (41 - 50)  	armo
5	Blessed	1	25 - 48	18	28	ac% (51 - 65)  	armo
6	Saintly	1	31 - 60	23	28	ac% (66 - 80)  	armo
7	Holy	1	36	27	28	ac% (81 - 125)  	armo
8	Awesome	1	48	32	28	ac% (126 - 150)  	armo
9	Godly	1	60	38	28	ac% (151 - 200)  	armo
10	Devious	1	7	5	20	red-mag (1 - 1)  	tors shld circ staf wand mana
11	Blank	1	14	10	20	red-mag (2 - 2)  	tors shld circ staf wand mana
12	Null	1	21	16	20	red-mag (3 - 5)  	tors shld circ staf wand mana
13	Antimagic	1	28	21	20	red-mag (6 - 10)  	tors shld circ staf wand mana
14	Jagged	1	1 - 14	1	42	dmg% (10 - 20)  	weap circ      staf
15	Deadly	1	5 - 20	3	42	dmg% (21 - 30)  	weap circ      staf
16	Vicious	1	8 - 26	6	42	dmg% (31 - 40)  	weap       staf
17	Brutal	1	14 - 32	10	42	dmg% (41 - 50)  	weap       staf
18	Massive	1	20 - 39	15	42	dmg% (51 - 65)  	weap       staf
19	Savage	1	26 - 45	19	42	dmg% (66 - 80)  	weap       staf
20	Merciless	1	32 - 51	24	42	dmg% (81 - 100)  	weap       staf
21	Ruthless	1	39	33	42	dmg% (101 - 150)  	weap       staf
22	Ferocious	1	45	40	42	dmg% (151 - 200)  	weap       staf
23	Cruel	1	51	46	42	dmg% (201 - 300)  	weap       staf
24	Bloodlust		75	50	14	dmg% (400 - 400) howl (128 - 128) regen (-8 - -8)	mele       staf
25	Vulpine	1	9	6	18	dmg-to-mana (7 - 12)  	shld amul staf wand mana
26	White	1	18	12	18	dmg-to-mana (14 - 24)  	shld amul staf wand mana
27	Tireless	1	6 - 27	4	16	regen-stam (25 - 25)  	boot
28	Tireless	1	14 - 50	10	16	regen-stam (50 - 50)  	boot
29	Rugged	1	1 - 16	1	16	stam (5 - 10)  	boot belt ring amul circ glov
30	Rugged	1	8 - 32	6	16	stam (11 - 20)  	boot belt ring amul circ
31	Vigorous	1	16 - 50	12	16	stam (21 - 30)  	boot belt
