id	Name	Rare	Lvl	Req Lvl	Rarity	Stats	Item Type
1	of Health	1	7 - 18	5	18	red-dmg (1 - 2)  	amul ring armo staf wand
2	of Protection	1	18 - 26	18	18	red-dmg (3 - 4)  	amul ring armo staf wand
3	of Absorption	1	26 - 35	24	18	red-dmg (5 - 6)  	amul ring armo staf wand
4	of Life	1	35	33	18	red-dmg (7 - 14)  	amul ring armo staf wand
5	of Anima	1	45	43	18	red-dmg (15 - 24)  	amul circ tors shld
6	of Life Everlasting	1	75	70	18	red-dmg (25 - 50)  	amul circ
7	of Warding	1	7 - 18	5	18	red-mag (1 - 2)  	ring armo staf wand
8	of the Sentinel	1	18 - 26	12	18	red-mag (3 - 4)  	ring armo staf wand
9	of Guarding	1	26	19	18	red-mag (5 - 12)  	ring armo staf wand
10	of Negation	1	42	35	18	red-mag (13 - 24)  	circ tors shld
11	of Avoidance	1	9 - 15	6	18	ac-miss (50 - 100)  	helm tors shld boot staf wand
12	of Ducking	1	9 - 15	6	18	ac-hth (50 - 100)  	helm tors shld boot staf wand
13	of Evasion	1	15 - 35	16	18	ac-miss (100 - 200)  	helm tors shld boot staf wand
14	of Elusion	1	15 - 35	16	18	ac-hth (100 - 200)  	helm tors shld boot staf wand
15	of Piercing	1	25	18	16	ignore-ac (1 - 1)  	scep knif claw asnx
16	of Puncturing	1	15 - 30	8	20	dmg-ac (-20 - -50)  	weap
17	of Bashing	1	30 - 45	16	20	dmg-ac (-51 - -120)  	weap
18	of Bashing	1	45	24	20	dmg-ac (-121 - -200)  	weap
19	of Dummy	1	1	1	1	dmg-ac (0 - 0)  	xcha ycha
20
21
22
23
24	of Readiness	1	5 - 25	3	20	swing1 (10 - 10)  	weap glov      staf
25	of Alacrity	1	25	17	20	swing2 (20 - 20)  	weap glov      staf
26	of Swiftness	1	34	26	20	swing2 (30 - 30)  	mele       staf
27	of Quickness	1	46	38	20	swing3 (40 - 40)  	mele       staf
28	of Blocking	1	1	1	76	block (10 - 10) block2 (15 - 15) 	shld
29	of Deflecting	1	11	8	76	block (20 - 20) block2 (30 - 30) 	shld
30	of the Apprentice	1	7	5	40	cast1 (10 - 10)  	circ staf wand amul ring
31	of the Magus	1	17	15	20	cast3 (15 - 15)  	circ staf wand
32	of the Magus	1	27	25	20	cast3 (20 - 20)  	circ staf wand
33	of Frost	1	4 - 25	3	16	cold-min (1 - 2) cold-max (3 - 11) cold-len (50 - 50)	weap amul ring belt
34	of the Icicle	1	15 - 34	15	16	cold-min (3 - 5) cold-max (12 - 35) cold-len (75 - 75)	weap amul ring belt
35	of the Glacier	1	25 - 50	27	16	cold-min (6 - 10) cold-max (36 - 70) cold-len (100 - 100)	mele
36	of Winter	1	34	39	16	cold-min (11 - 20) cold-max (71 - 140) cold-len (150 - 150)	mele
37	of the Iceburg		50	51	16	cold-min (21 - 40) cold-max (141 - 280) cold-len (200 - 200)	mele
38	of Flame	1	4 - 25	3	16	fire-min (1 - 3) fire-max (4 - 12) 	weap amul ring glov
39	of Fire	1	15 - 34	15	16	fire-min (4 - 7) fire-max (13 - 37) 	weap amul ring glov
