*desc	enabled	page	x	y	color	font	statID	end
MF/GG/XP/CHEAP								0
mag%	1	1	25	435	9	4	80	0
gold%	1	1	25	420	9	4	79	0
cheap	1	1	25	405	4	4	87	0
addxp	1	1	25	390	4	4	85	0
LIFE								0
hp%	1	1	25	370	1	4	76	0
regen	1	1	25	355	1	4	74	0
lifesteal	1	1	25	340	1	4	60	0
heal-kill	1	1	25	325	1	4	86	0
demon-heal	1	1	25	310	1	4	139	0
MANA								0
mana%	1	1	25	285	3	4	77	0
regen-mana	1	1	25	270	3	4	27	0
manasteal	1	1	25	255	3	4	62	0
mana-kill	1	1	25	240	3	4	138	0
dmg-to-mana	1	1	25	225	3	4	114	0
STAMINA								0
regen-stam	1	1	25	200		4	28	0
stamdrain	1	1	25	185		4	154	0
SKILLS								0
Fire Skills	1	1	25	160		4	126	0
All Skills	1	1	25	145		4	127	0
Summ Skills	1	1	25	130		4	487	0
								0
DAMAGE								0
dmg-max	1	2	25	435		4	21	0
dmg-min	1	2	25	420		4	22	0
VS DEMON/UNDEAD								0
dmg-demon	1	2	25	400	1	4	121	0
att-demon	1	2	25	385	1	4	123	0
dmg-undead	1	2	25	370	5	4	122	0
att-undead	1	2	25	355	5	4	124	0
ATTACK RATING								0
att	1	2	25	330		4	19	0
att%	1	2	25	315		4	119	0
SPECIAL (DAMAGE)								0
openwounds	1	2	25	290	8	4	135	0
crush	1	2	25	275	8	4	136	0
deadly	1	2	25	260	8	4	141	0
SPECIAL (ENEMY DEFENSE)								0
reduce-ac	1	2	25	235		4	116	0
dmg-ac	1	2	25	220		4	120	0
SPECIAL (OTHER)								0
freeze	1	2	25	195	3	4	134	0
pierce	1	2	25	180		4	156	0
slow	1	2	25	165		4	150	0
howl	1	2	25	150		4	112	0
Kill_display	1	2	25	135		4	249	0
								0
ELEMENTAL DAMAGE								0
FIRE								0
fire-min	1	3	25	435	1	4	48	0
fire-max	1	3	25	420	1	4	49	0
pierce-fire	1	3	25	405	1	4	333	0
extra-fire	1	3	25	390	1	4	329	0
COLD								0
cold-min	1	3	25	372	3	4	54	0
cold-max	1	3	25	357	3	4	55	0
pierce-cold	1	3	25	342	3	4	335	0
extra-cold	1	3	25	327	3	4	331	0
LIGHTNING								0
ltng-min	1	3	25	309	9	4	50	0
ltng-max	1	3	25	294	9	4	51	0
pierce-ltng	1	3	25	279	9	4	334	0
extra-ltng	1	3	25	264	9	4	330	0
POISON								0
pois-min	1	3	25	246	2	4	57	0
pois-max	1	3	25	231	2	4	58	0
pierce-pois	1	3	25	216	2	4	336	0
extra-pois	1	3	25	201	2	4	332	0
MAGIC								0
mag-min	1	3	25	183	8	4	52	0
mag-max	1	3	25	168	8	4	53	0
extra-mag2	1	3	25	153	8	4	482	0
extra-wind	1	3	25	135		4	483	0
extra-summ	1	3	25	120		4	486	0
								0
DEFENSIVE MODS								0
DAMAGE REDUCTION								0
red-dmg%	1	4	25	435		4	36	0
red-dmg	1	4	25	420		4	34	0
red-mag	1	4	25	405	8	4	35	0
ARMOR CLASS VS								0
ac-hth	1	4	25	385		4	32	0
ac-miss	1	4	25	370		4	33	0
ATTACKER TAKES DAMAGE								0
thorns	1	4	25	350		4	78	0
light-thorns	1	4	25	335	9	4	128	0
LIGHT RADIUS								0
light	1	4	25	315		4	89	0
FASTER ACTIONS								0
move1	1	4	25	295		4	96	0
balance1	1	4	25	280		4	99	0
cast1	1	4	25	265		4	105	0
swing1	1	4	25	250		4	93	0
block	1	4	25	235		4	20	0
block1	1	4	25	220		4	102	0
FREEZE RESIST								0
nofreeze	1	4	25	200	3	4	153	0
halffreeze	1	4	25	185	3	4	118	0
D/A/E								0
passive_dodge	1	4	25	165		4	338	0
passive_avoid	1	4	25	150		4	339	0
passive_evade	1	4	25	135		4	340	0
								0
RESISTANCE								0
FIRE								0
res-fire	1	5	25	435	1	4	39	0
res-fire-max	1	5	25	420	1	4	40	0
item_absorbfire	1	5	25	405	1	4	143	0
item_absorbfire_percent	1	5	25	390	1	4	142	0
COLD								0
res-cold	1	5	25	365	3	4	43	0
res-cold-max	1	5	25	350	3	4	44	0
item_absorbcold	1	5	25	335	3	4	149	0
item_absorbcold_percent	1	5	25	320	3	4	148	0
LIGHTNING								0
res-ltng	1	5	25	295	9	4	41	0
res-ltng-max	1	5	25	280	9	4	42	0
item_absorblight	1	5	25	265	9	4	145	0
item_absorblight_percent	1	5	25	250	9	4	144	0
POISON								0
res-pois	5	5	25	225	2	4	45	0
res-pois-max	5	5	25	210	2	4	46	0
res-pois-len	1	5	25	195	2	4	110	0
MAGIC								
res-mag	1	5	25	170	8	4	37	0
res-mag-max	1	5	25	155	8	4	38	0
item_absorbmagic	1	5	25	140	8	4	147	0
item_absorbmagic_percent	1	5	25	125	8	4	146	0
								0
player breakpoints	1	6	25	445		1	10000	0
mercenaries breakpoints	1	6	25	300		1	10001	0
